1,1,70,1,No Collection,No Collection,No Collection
2,389,3,1,NULL,Field Harvest,No comments
3,390,3,1,NULL,Field Harvest,No comments
4,391,3,1,NULL,Field Harvest,No comments
5,392,3,1,NULL,Field Harvest,No comments
6,393,3,1,NULL,Field Harvest,No comments
7,394,3,1,NULL,Field Harvest,No comments
8,395,3,1,NULL,Field Harvest,No comments
9,396,3,1,NULL,Field Harvest,No comments
10,397,3,1,NULL,Field Harvest,No comments
11,398,3,1,NULL,Field Harvest,No comments
12,399,3,1,NULL,Field Harvest,No comments
13,400,3,1,NULL,Field Harvest,No comments
14,401,3,1,NULL,Field Harvest,No comments
15,402,3,1,NULL,Field Harvest,No comments
16,403,3,1,NULL,Field Harvest,No comments
17,404,3,1,NULL,Field Harvest,No comments
18,405,3,1,NULL,Field Harvest,No comments
19,406,3,1,NULL,Field Harvest,No comments
20,407,3,1,NULL,Field Harvest,No comments
21,408,3,1,NULL,Field Harvest,No comments
22,409,3,1,NULL,Field Harvest,No comments
23,410,3,1,NULL,Field Harvest,No comments
24,411,3,1,NULL,Field Harvest,No comments
25,412,3,1,NULL,Field Harvest,No comments
26,413,3,1,NULL,Field Harvest,No comments
27,414,3,1,NULL,Field Harvest,No comments
28,415,3,1,NULL,Field Harvest,No comments
29,416,3,1,NULL,Field Harvest,No comments
30,417,3,1,NULL,Field Harvest,No comments
31,418,3,1,NULL,Field Harvest,No comments
32,419,3,1,NULL,Field Harvest,No comments
33,420,3,1,NULL,Field Harvest,No comments
34,421,3,1,NULL,Field Harvest,No comments
35,422,3,1,NULL,Field Harvest,No comments
36,423,3,1,NULL,Field Harvest,No comments
37,424,3,1,NULL,Field Harvest,No comments
38,535,12,1,NULL,Field Harvest,No comments
39,536,12,1,NULL,Field Harvest,No comments
40,537,12,1,NULL,Field Harvest,No comments
41,538,12,1,NULL,Field Harvest,No comments
42,539,12,1,NULL,Field Harvest,No comments
43,540,12,1,NULL,Field Harvest,No comments
44,541,12,1,NULL,Field Harvest,No comments
45,542,12,1,NULL,Field Harvest,No comments
46,543,12,1,NULL,Field Harvest,No comments
47,544,12,1,NULL,Field Harvest,No comments
48,545,12,1,NULL,Field Harvest,No comments
49,546,12,1,NULL,Field Harvest,No comments
50,547,12,1,NULL,Field Harvest,No comments
51,548,12,1,NULL,Field Harvest,No comments
52,549,12,1,NULL,Field Harvest,No comments
53,550,12,1,NULL,Field Harvest,No comments
54,551,12,1,NULL,Field Harvest,No comments
55,552,12,1,NULL,Field Harvest,No comments
56,553,12,1,NULL,Field Harvest,No comments
57,554,12,1,NULL,Field Harvest,No comments
58,555,12,1,NULL,Field Harvest,No comments
59,556,12,1,NULL,Field Harvest,No comments
60,557,12,1,NULL,Field Harvest,No comments
61,558,12,1,NULL,Field Harvest,No comments
62,559,12,1,NULL,Field Harvest,No comments
63,560,12,1,NULL,Field Harvest,No comments
64,561,12,1,NULL,Field Harvest,No comments
65,562,12,1,NULL,Field Harvest,No comments
66,563,12,1,NULL,Field Harvest,No comments
67,564,12,1,NULL,Field Harvest,No comments
68,565,12,1,NULL,Field Harvest,No comments
69,566,12,1,NULL,Field Harvest,No comments
70,567,12,1,NULL,Field Harvest,No comments
71,568,12,1,NULL,Field Harvest,No comments
72,569,12,1,NULL,Field Harvest,No comments
73,570,12,1,NULL,Field Harvest,No comments
74,571,12,1,NULL,Field Harvest,No comments
75,572,12,1,NULL,Field Harvest,No comments
76,573,12,1,NULL,Field Harvest,No comments
77,574,12,1,NULL,Field Harvest,No comments
78,575,12,1,NULL,Field Harvest,No comments
79,576,12,1,NULL,Field Harvest,No comments
80,577,12,1,NULL,Field Harvest,No comments
81,578,12,1,NULL,Field Harvest,No comments
82,579,12,1,NULL,Field Harvest,No comments
83,580,12,1,NULL,Field Harvest,No comments
84,581,12,1,NULL,Field Harvest,No comments
85,582,12,1,NULL,Field Harvest,No comments
86,583,12,1,NULL,Field Harvest,No comments
87,584,12,1,NULL,Field Harvest,No comments
88,713,3,1,NULL,Field Harvest,No comments
89,714,3,1,NULL,Field Harvest,No comments
90,716,3,1,NULL,Field Harvest,No comments
91,717,3,1,NULL,Field Harvest,No comments
92,719,3,1,NULL,Field Harvest,No comments
93,720,3,1,NULL,Field Harvest,No comments
94,722,3,1,NULL,Field Harvest,No comments
95,723,3,1,NULL,Field Harvest,No comments
96,725,3,1,NULL,Field Harvest,No comments
97,726,3,1,NULL,Field Harvest,No comments
98,728,3,1,NULL,Field Harvest,No comments
99,729,3,1,NULL,Field Harvest,No comments
100,731,3,1,NULL,Field Harvest,No comments
101,732,3,1,NULL,Field Harvest,No comments
102,734,3,1,NULL,Field Harvest,No comments
103,735,3,1,NULL,Field Harvest,No comments
104,740,3,1,NULL,Field Harvest,No comments
105,741,3,1,NULL,Field Harvest,No comments
106,743,3,1,NULL,Field Harvest,No comments
107,744,3,1,NULL,Field Harvest,No comments
108,746,3,1,NULL,Field Harvest,No comments
109,749,3,1,NULL,Field Harvest,No comments
110,750,3,1,NULL,Field Harvest,No comments
111,752,3,1,NULL,Field Harvest,No comments
112,753,3,1,NULL,Field Harvest,No comments
113,755,3,1,NULL,Field Harvest,No comments
114,756,3,1,NULL,Field Harvest,No comments
115,758,3,1,NULL,Field Harvest,No comments
116,759,3,1,NULL,Field Harvest,No comments
117,761,3,1,NULL,Field Harvest,No comments
118,762,3,1,NULL,Field Harvest,No comments
119,764,3,1,NULL,Field Harvest,No comments
120,767,3,1,NULL,Field Harvest,No comments
121,768,3,1,NULL,Field Harvest,No comments
122,770,3,1,NULL,Field Harvest,No comments
123,771,3,1,NULL,Field Harvest,No comments
124,773,3,1,NULL,Field Harvest,No comments
125,774,3,1,NULL,Field Harvest,No comments
126,776,3,1,NULL,Field Harvest,No comments
127,777,3,1,NULL,Field Harvest,No comments
128,779,3,1,NULL,Field Harvest,No comments
129,780,3,1,NULL,Field Harvest,No comments
130,782,3,1,NULL,Field Harvest,No comments
131,783,3,1,NULL,Field Harvest,No comments
132,785,3,1,NULL,Field Harvest,No comments
133,786,3,1,NULL,Field Harvest,No comments
134,788,3,1,NULL,Field Harvest,No comments
135,789,3,1,NULL,Field Harvest,No comments
136,791,3,1,NULL,Field Harvest,No comments
