1,1,No Field
2,1,NULL
3,2,Clayton NC
4,3,Aurora NY
5,4,Homested FL
6,5,Andrews NC
7,6,Blacksburg VA
8,7,NULL
9,8,Cornell GH NY
10,9,Mississippi State MS
11,10,Argentina
12,11,Chile
13,12,Puerto Rico Winter Nursery
14,13,Santa Rafaela Graneros
15,8,Ithaca NY
16,14,Texas
17,15,Mississippi
18,16,North Carolina
19,1,StuebenCo. Addison Zake Dininning Farmer
20,17,Lansing NY
21,18,Livingston NY
22,1,ATCC48332
23,1,ATCC48331
24,19,Ohio
25,20,Illinois
26,21,Pennsylvania
27,22,Marion NC
28,23,Ontario NY
29,24,LeRoy NY(GeneseeCounty)
30,1,unknown
31,25,Freeville NY
32,1,Columbia Co
33,26,Emerson Garden NY
34,8,366 Rd Ithaca NY
35,8,367 Rd Ithaca NY
36,3,Buckler's middle field Aurora NY
