1,NULL,NULL,NULL,NULL
2,Clayton,NC,USA,NULL
3,Aurora,NY,USA,NULL
4,Homestead,FL,USA,NULL
5,Andrews,NC,USA,NULL
6,Blacksburg,VA,USA,NULL
7,NULL,NULL,USA,NULL
8,Ithaca,NY,USA,NULL
9,Mississippi State,MS,USA,NULL
10,NULL,NULL,Argentina,NULL
11,NULL,NULL,Chile,NULL
12,NULL,PR,USA,NULL
13,Santa Rafaela,NULL,NULL,NULL
14,NULL,TX,USA,NULL
15,NULL,MS,USA,NULL
16,NULL,NC,USA,NULL
17,Lansing,NY,USA,NULL
18,Livingston,NY,USA,NULL
19,NULL,OH,USA,NULL
20,NULL,IL,USA,NULL
21,NULL,PN,USA,NULL
22,Marion,NC,USA,NULL
23,Ontario,NY,USA,NULL
24,LeRoy,NY,USA,NULL
25,Freeville,NY,USA,NULL
26,Emerson Garden,NY,USA,NULL
