13TN0049,Pa91,13TN,NULL,NULL,12SH0018_002s,Pa91,22,NULL,NULL,NULL,12,NULL,NULL,NLB; self,self,34
13TN0050,Pa91Ht1,13TN,NULL,NULL,12SH0019_005s,Pa91Ht1,22,NULL,NULL,NULL,12,NULL,NULL,NLB; self,self,34
13TN0051,Pa91Ht2,13TN,NULL,NULL,12SH0020_002S,Pa91Ht2,22,NULL,NULL,NULL,12,NULL,NULL,NLB; self,self,34
13TN0052,Pa91Ht3,13TN,NULL,NULL,12SH0017_001S,Pa91Ht3,22,NULL,NULL,NULL,12,NULL,NULL,NLB; self,self,34
13TN2001,NULL,13TN,NULL,NULL,11PR0076_002s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2002,Check,13TN,NULL,NULL,10CH0211_004s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2003,NULL,13TN,NULL,NULL,11PR0093_002s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2004,NULL,13TN,NULL,NULL,10TN2381_003s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2005,NULL,13TN,NULL,NULL,11PR0035_001s,NULL,22,NULL,NULL,1,3,NULL,NULL,NLB; self,self,34
13TN2006,NULL,13TN,NULL,NULL,10CH0144_007s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2007,NULL,13TN,NULL,NULL,11PR0079_002s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2008,Check,13TN,NULL,NULL,10CH0211_005s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2009,NULL,13TN,NULL,NULL,11TN2276_001s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2010,NULL,13TN,NULL,NULL,11PR0057_002s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2011,NULL,13TN,NULL,NULL,purple,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2012,NULL,13TN,NULL,NULL,11TS2036_001s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2013,NULL,13TN,NULL,NULL,11PR0086_009s,NULL,22,NULL,NULL,1,5,NULL,NULL,NLB; self,self,34
13TN2014,NULL,13TN,NULL,NULL,11PR0041_006s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2015,NULL,13TN,NULL,NULL,10TN2071_001s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2016,NULL,13TN,NULL,NULL,11PR0098_002s,NULL,22,NULL,NULL,1,10,NULL,NULL,NLB; self,self,34
13TN2017,NULL,13TN,NULL,NULL,11PR0076_002s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2018,NULL,13TN,NULL,NULL,11PR0098_002s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2019,Check,13TN,NULL,NULL,10CH0211_004s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2020,NULL,13TN,NULL,NULL,10TN2071_001s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2021,NULL,13TN,NULL,NULL,10CH0144_007s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2022,NULL,13TN,NULL,NULL,11PR0093_002s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2023,NULL,13TN,NULL,NULL,10TN2381_003s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2024,NULL,13TN,NULL,NULL,11PR0079_002s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2025,NULL,13TN,NULL,NULL,purple,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2026,Check,13TN,NULL,NULL,10CH0211_005s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2027,NULL,13TN,NULL,NULL,11PR0041_006s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2028,NULL,13TN,NULL,NULL,11PR0086_009s,NULL,22,NULL,NULL,2,5,NULL,NULL,NLB,NULL,34
13TN2029,NULL,13TN,NULL,NULL,11TS2036_001s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2030,NULL,13TN,NULL,NULL,11PR0057_002s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2031,NULL,13TN,NULL,NULL,11TN2276_001s,NULL,22,NULL,NULL,2,10,NULL,NULL,NLB,NULL,34
13TN2032,NULL,13TN,NULL,NULL,11PR0035_001s,NULL,22,NULL,NULL,2,3,NULL,NULL,NLB,NULL,34
13TN2033,Check,13TN,NULL,NULL,10CH0211_004s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2034,NULL,13TN,NULL,NULL,10TN2381_003s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2035,NULL,13TN,NULL,NULL,11PR0076_002s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2036,NULL,13TN,NULL,NULL,11TS2036_001s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2037,NULL,13TN,NULL,NULL,11PR0041_006s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2038,NULL,13TN,NULL,NULL,11TN2276_001s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2039,NULL,13TN,NULL,NULL,11PR0093_002s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2040,NULL,13TN,NULL,NULL,10CH0144_007s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2041,NULL,13TN,NULL,NULL,10TN2071_001s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2042,NULL,13TN,NULL,NULL,11PR0086_009s,NULL,22,NULL,NULL,3,5,NULL,NULL,NLB,NULL,34
13TN2043,NULL,13TN,NULL,NULL,11PR0079_002s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2044,Check,13TN,NULL,NULL,10CH0211_005s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2045,NULL,13TN,NULL,NULL,purple,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2046,NULL,13TN,NULL,NULL,11PR0035_001s,NULL,22,NULL,NULL,3,3,NULL,NULL,NLB,NULL,34
13TN2047,NULL,13TN,NULL,NULL,11PR0098_002s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
13TN2048,NULL,13TN,NULL,NULL,11PR0057_002s,NULL,22,NULL,NULL,3,10,NULL,NULL,NLB,NULL,34
