plant_id,row_id,plant_name,notes
06PN0031_001,06PN0031,1_001,P27_Et1
06PN0031_002,06PN0031,1_002,P27_Et1
06PN0031_003,06PN0031,1_003,P27_Et1
06PN0031_004,06PN0031,1_004,P27_Et1
06PN0031_005,06PN0031,1_005,P27_Et1
06PN0031_006,06PN0031,1_006,P27_Et1
06PN0031_007,06PN0031,1_007,P27_Et1
06PN0031_008,06PN0031,1_008,P27_Et1
06PN0031_009,06PN0031,1_009,P27_Et1
06PN0031_010,06PN0031,1_010,P27_Et1
06PN0032_001,06PN0032,1_011,P27_Et1
06PN0032_002,06PN0032,1_012,P27_Et1
06PN0032_003,06PN0032,1_013,P27_Et1
06PN0032_004,06PN0032,1_014,P27_Et1
06PN0032_005,06PN0032,1_015,P27_Et1
06PN0032_006,06PN0032,1_016,P27_Et1
06PN0032_007,06PN0032,1_017,P27_Et1
06PN0032_008,06PN0032,1_018,P27_Et1
06PN0032_009,06PN0032,1_019,P27_Et1
06PN0032_010,06PN0032,1_020,P27_Et1
06PN0034_001,06PN0034,1_021,P27_Et1
06PN0034_002,06PN0034,1_022,P27_Et1
06PN0034_003,06PN0034,1_023,P27_Et1
06PN0034_004,06PN0034,1_024,P27_Et1
06PN0034_005,06PN0034,1_025,P27_Et1
06PN0034_006,06PN0034,1_026,P27_Et1
06PN0034_007,06PN0034,1_027,P27_Et1
06PN0034_008,06PN0034,1_028,P27_Et1
06PN0034_009,06PN0034,1_029,P27_Et1
06PN0034_010,06PN0034,1_030,P27_Et1
06PN0035_001,06PN0035,1_031,P27_Et1
06PN0035_002,06PN0035,1_032,P27_Et1
06PN0035_003,06PN0035,1_033,P27_Et1
06PN0035_004,06PN0035,1_034,P27_Et1
06PN0035_005,06PN0035,1_035,P27_Et1
06PN0035_006,06PN0035,1_036,P27_Et1
06PN0035_007,06PN0035,1_037,P27_Et1
06PN0035_008,06PN0035,1_038,P27_Et1
06PN0035_009,06PN0035,1_039,P27_Et1
06PN0035_010,06PN0035,1_040,P27_Et1
06PN0037_001,06PN0037,1_041,P27_Et1
06PN0037_002,06PN0037,1_042,P27_Et1
06PN0037_003,06PN0037,1_043,P27_Et1
06PN0037_004,06PN0037,1_044,P27_Et1
06PN0037_005,06PN0037,1_045,P27_Et1
06PN0037_006,06PN0037,1_046,P27_Et1
06PN0037_007,06PN0037,1_047,P27_Et1
06PN0037_008,06PN0037,1_048,P27_Et1
06PN0037_009,06PN0037,1_049,P27_Et1
06PN0037_010,06PN0037,1_050,P27_Et1
06PN0038_001,06PN0038,1_051,P27_Et1
06PN0038_002,06PN0038,1_052,P27_Et1
06PN0038_003,06PN0038,1_053,P27_Et1
06PN0038_004,06PN0038,1_054,P27_Et1
06PN0038_005,06PN0038,1_055,P27_Et1
06PN0038_006,06PN0038,1_056,P27_Et1
06PN0038_007,06PN0038,1_057,P27_Et1
06PN0038_008,06PN0038,1_058,P27_Et1
06PN0038_009,06PN0038,1_059,P27_Et1
06PN0038_010,06PN0038,1_060,P27_Et1
06PN0040_001,06PN0040,4_001,P27_Et4
