trait_id,trait,unit,description,,,,,
afl.afl,Aflatoxin,ppb,ppb aflatoxin,,,,,
afl.ksp,Aspergillus flavus kernel sporulation,%,% kernel covered by A. flavus sporulation,,,,,
afl.sic,Aspergillus flavus silk infection coefficient,dimensionless,A. flavus DNA/ total DNA on silks,,,,,
afl.sif,Aspergillus flavus silk infection frequency,%,% silks with A. flavus sporulation,,,,,
afl.slp,Aspergillus flavus silk latent period,days,Days from A. flavus inoculation to sporulation on silks,,,,,
afl.ssp,Aspergillus flavus silk sporulation,dimensionless,1-5 rating of sporulation on 10 silks,,,,,
dis.not,Disease notes,text,Description of symptoms,,,,,
dys.ath,Days to anthesis,days,Days from planting to anthesis,,,,,
ear.hgt,Ear height,cm,Distance between ground and primary ear,,,,,
gls.ds5,Grey leaf spot: 1-5 scale,dimensionless,1-5 by 0.25,,,,,
gls.ds9,Grey leaf spot: 1-9 scale,dimensionless,1-9 from 1=dead to 9=resistant,,,,,
gls.red,GLS red restriction/ red margin,dimensionless,1-3 score of lesion margin,,,,,
gls.thn,GLS thin lesion,dimensionless,"1-4 where 1=thin, 2=restricted, and 4=normal lesion margin",,,,,
juv.plt,Juvenile plant type,dimensionless,1-5,,,,,
nlb.clr,NLB lesion color,dimensionless,1-10 from 1=light to 10=dark,,,,,
nlb.ds1,NLB: percentage 1-100 by 1,%,% diseased leaf area from 1-100 by 1,,,,,
nlb.ds2,NLB: DLA percentage,%,% diseased leaf area,,,,,
nlb.ds5,NLB: percentage 1-100 by 5,%,% diseased leaf area from 1-100 by 5,,,,,
nlb.ds9,NLB: 1-9 scale,dimensionless,1-9 from 1=resistant to 9=dead,,,,,
nlb.flk,NLB flecking,text,"0-10 from 0=none to 10=heavy flecking, and LM=lesion mimic",,,,,
nlb.ipd,NLB incubation period,days,Days from inoculation to appearance of lesions,,,,,
nlb.mcb,NLB lesion margin color (brown),dimensionless,1-10 from 1=light to 10=dark brown,,,,,
nlb.mcp,NLB lesion margin color (purple),dimensionless,1-10 from 1=light to 10=dark purple,,,,,
nlb.shp,NLB lesion shape,text,Description of NLB lesion shape,,,,,
plt.hgt,Plant height,cm,Plant height in cm,,,,,
row.qlt,Row quality,dimensionless,1-5 from 1=low to 5=high quality row data,,,,,
rst.ds5,Common rust 1-10 scale by 0.5,dimensionless,1-10,,,,,
rst.ds9,Common rust 1-9 scale,dimensionless,1-9,,,,,
slb.ds9,Southern leaf blight,dimensionless,1-9,,,,,
slk.dat,Silking date,date,Date of silking,,,,,
smt.inc,Smut incidence,number of plants,Number of plants infected with smut,,,,,
smt.plt,Smut plant number,number of plants,Number of plants in row scored for smut,,,,,
smt.svt,Smut severity,dimensionless,1-10 from 1=small to 10=large gall,,,,,
std.cnt,Stand count,number of plants,Number of plants in row,,,,,
stw,Stewart's wilt,%,% diseased leaf area from 1-100 by 5,,,,,
tsl.dat,Tassel date,date,Date of anthesis,,,,,
