phenotype_id,entity_id,entity_type,entity_name,experiment_id,trait_id,phenotype_value,phenotype_date,plate_id,phenotype_person_id,scoring_order,notes,changed,technical_rep,biological_rep,trait_id_buckler
556624,St001x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556625,St002x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556626,St003x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556627,St004x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556628,St005x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556629,St006x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556630,St007x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556631,St008x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556632,St009x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556633,St010x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556634,St011x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556635,St012x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556636,St013x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556637,St014x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556638,St015x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556639,St016x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556640,St017x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556641,St018x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556642,St019x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556643,St020x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556644,St021x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556645,St022x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556646,St023x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556647,St024x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556648,St025x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556649,St026x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556650,St027x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556651,St028x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556652,St029x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556653,St030x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556654,St031x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556655,St032x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556656,St033x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556657,St034x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556658,St035x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556659,St036x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556660,St037x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556661,St038x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556662,St039x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556663,St040x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556664,St041x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556665,St042x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556666,St043x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556667,St044x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556668,St045x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556669,St046x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556670,St047x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556671,St048x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556672,St049x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556673,St050x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556674,St051x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556675,St052x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556676,St053x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556677,St054x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556678,St055x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556679,St056x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556680,St057x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556681,St058x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556682,St059x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556683,St060x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556684,St061x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556685,St062x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556686,St063x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556687,St064x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556688,St065x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556689,St066x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556690,St067x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556691,St068x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556692,St069x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556693,St070x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556694,St071x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556695,St072x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556696,St073x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556697,St074x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556698,St075x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556699,St076x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556700,St077x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556701,St078x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556702,St079x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556703,St080x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556704,St081x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556705,St082x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556706,St083x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556707,St084x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556708,St085x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556709,St086x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556710,St087x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556711,St088x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556712,St089x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556713,St090x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556714,St091x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556715,St092x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556716,St093x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556717,St094x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556718,St095x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556719,St096x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556720,St097x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556721,St098x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556722,St099x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556723,St100x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556724,St101x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556725,St102x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556726,St103x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556727,St104x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556728,St105x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556729,St106x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556730,St107x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556731,St108x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556732,St109x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556733,St110x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556734,St111x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556735,St112x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556736,St113x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556737,St114x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556738,St115x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556739,St116x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556740,St117x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556741,St118x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556742,St119x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556743,St120x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556744,St121x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556745,St122x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556746,St123x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556747,St124x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556748,St125x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556749,St126x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556750,St127x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556751,St128x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556752,St129x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556753,St130x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556754,St131x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556755,St132x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556756,St133x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556757,St134x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556758,St135x,pot,,13GS,nlb.rs,R,,,8,,based on 2 pots,,,,
556759,St136x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
556760,St137x,pot,,13GS,nlb.rs,S,,,8,,based on 2 pots,,,,
