Plot ID,Experiment Name,Source Seed ID,Seed Name,Population,Pedigree,Field Name,Plot Name,Range,Row,Block,Rep,Kernel Num,Planting Date,Harvest Date,Plot Comments,,
16GB1032,16GB,SPM 08:83265,,,IBMRI MO031 X IBMRI MO031,CFAR600,IBMRI MO031 X IBMRI MO031,17,3,3,1,20,5/20/16,,Goss' wilt,,
16GB1031,16GB,SPM 04:1625,,,IBMRI MO180,CFAR600,IBMRI MO180,17,4,3,1,20,5/20/16,,Goss' wilt,,
16GB1030,16GB,SPM 09:91440,,,IBMRI MO001,CFAR600,IBMRI MO001,17,5,2,1,20,5/20/16,,Goss' wilt,,
16GB1029,16GB,SPM 08:82386,,,IBMRI MO077,CFAR600,IBMRI MO077,17,6,2,1,20,5/20/16,,Goss' wilt,,
16GB1028,16GB,SPM 08:82277,,,IBMRI MO196,CFAR600,IBMRI MO196,17,7,2,1,20,5/20/16,,Goss' wilt,,
16GB1027,16GB,SPM 08:82417,,,IBMRI MO236,CFAR600,IBMRI MO236,17,8,2,1,20,5/20/16,,Goss' wilt,,
16GB1026,16GB,SPM 08:82263,,,IBMRI MO044,CFAR600,IBMRI MO044,17,9,2,1,20,5/20/16,,Goss' wilt,,
16GB1025,16GB,SPM 05:756,,,IBMRI MO059,CFAR600,IBMRI MO059,17,10,2,1,20,5/20/16,,Goss' wilt,,
16GB1024,16GB,SPM 13:131397 X 1331397,,,IBMRI MO085,CFAR600,IBMRI MO085,17,11,2,1,20,5/20/16,,Goss' wilt,,
16GB1023,16GB,011:1002-6,,,B73,CFAR600,B73,17,12,2,1,20,5/20/16,,Goss' wilt,,
16GB1022,16GB,SPM 08:80650,,,IBMRI MO154,CFAR600,IBMRI MO154,17,13,2,1,20,5/20/16,,Goss' wilt,,
16GB1021,16GB,SPM 08:82338,,,IBMRI MO302,CFAR600,IBMRI MO302,17,14,2,1,20,5/20/16,,Goss' wilt,,
16GB1020,16GB,SPM 08:82360,,,IBMRI MO195,CFAR600,IBMRI MO195,17,15,2,1,20,5/20/16,,Goss' wilt,,
16GB1019,16GB,SPM 04:1756,,,IBMRI MO122,CFAR600,IBMRI MO122,17,16,2,1,20,5/20/16,,Goss' wilt,,
16GB1018,16GB,SPM 08:80647,,,IBMRI MO289,CFAR600,IBMRI MO289,17,17,2,1,20,5/20/16,,Goss' wilt,,
16GB1017,16GB,SPM 08:82313,,,IBMRI MO009,CFAR600,IBMRI MO009,17,18,2,1,20,5/20/16,,Goss' wilt,,
16GB1016,16GB,SPM 08:83013,,,IBMRI MO124,CFAR600,IBMRI MO124,17,19,2,1,20,5/20/16,,Goss' wilt,,
16GB1015,16GB,SPM 08:83268,,,IBMRI MO003 X IBMRI MO003,CFAR600,IBMRI MO003 X IBMRI MO003,17,20,1,1,20,5/20/16,,Goss' wilt,,
16GB1014,16GB,SPM 08:82266,,,IBMRI MO255,CFAR600,IBMRI MO255,17,21,1,1,20,5/20/16,,Goss' wilt,,
16GB1013,16GB,041:55(x)-bulk,,,Mo17,CFAR600,Mo17,17,22,1,1,20,5/20/16,,Goss' wilt,,
16GB1012,16GB,SPM 08:82988,,,IBMRI MO038,CFAR600,IBMRI MO038,17,23,1,1,20,5/20/16,,Goss' wilt,,
16GB1011,16GB,SPM 08:82290,,,IBMRI MO322,CFAR600,IBMRI MO322,17,24,1,1,20,5/20/16,,Goss' wilt,,
16GB1010,16GB,SPM 08:82374,,,IBMRI MO261,CFAR600,IBMRI MO261,17,25,1,1,20,5/20/16,,Goss' wilt,,
16GB1009,16GB,SPM 08:82365,,,IBMRI MO328,CFAR600,IBMRI MO328,17,26,1,1,20,5/20/16,,Goss' wilt,,
16GB1008,16GB,SPM 08:82364,,,IBMRI MO160,CFAR600,IBMRI MO160,17,27,1,1,20,5/20/16,,Goss' wilt,,
16GB1007,16GB,SPM 08: 82430,,,IBMRI MO353,CFAR600,IBMRI MO353,17,28,1,1,20,5/20/16,,Goss' wilt,,
16GB1006,16GB,SPM 08:80718,,,IBMRI MO262,CFAR600,IBMRI MO262,17,29,1,1,20,5/20/16,,Goss' wilt,,
16GB1005,16GB,SPM 09:91537-SEXF,,,IBMRI MO356,CFAR600,IBMRI MO356,17,30,1,1,20,5/20/16,,Goss' wilt,,
16GB1004,16GB,011:1002-6,,,B73,CFAR600,B73,17,31,1,1,20,5/20/16,,Goss' wilt,,
16GB1003,16GB,SPM 08:83020,,,IBMRI MO056,CFAR600,IBMRI MO056,17,32,1,1,20,5/20/16,,Goss' wilt,,
16GB1002,16GB,SPM 08:82350,,,IBMRI MO233,CFAR600,IBMRI MO233,17,33,1,1,20,5/20/16,,Goss' wilt,,
16GB1001,16GB,SPM 08:82301,,,IBMRI MO146,CFAR600,IBMRI MO146,17,34,1,1,20,5/20/16,,Goss' wilt,,
16GB1033,16GB,SPM 08:82411,,,IBMRI MO075,CFAR600,IBMRI MO075,18,3,3,1,20,5/20/16,,Goss' wilt,,
16GB1034,16GB,SPM 08:82986,,,IBMRI MO074,CFAR600,IBMRI MO074,18,4,3,1,20,5/20/16,,Goss' wilt,,
16GB1035,16GB,SPM 08:82356,,,IBMRI MO220,CFAR600,IBMRI MO220,18,5,3,1,20,5/20/16,,Goss' wilt,,
16GB1036,16GB,SPM 08: 82367,,,IBMRI MO134,CFAR600,IBMRI MO134,18,6,3,1,20,5/20/16,,Goss' wilt,,
16GB1037,16GB,SPM 08:83622-selfX,,,IBMRI MO256,CFAR600,IBMRI MO256,18,7,3,1,20,5/20/16,,Goss' wilt,,
16GB1038,16GB,SPM 08:82287,,,IBMRI MO327,CFAR600,IBMRI MO327,18,8,3,1,20,5/20/16,,Goss' wilt,,
16GB1039,16GB,SPM 08:82378,,,IBMRI MO342,CFAR600,IBMRI MO342,18,9,3,1,20,5/20/16,,Goss' wilt,,
16GB1040,16GB,SPM 04:1868,,,IBMRI MO185,CFAR600,IBMRI MO185,18,10,3,1,20,5/20/16,,Goss' wilt,,
16GB1041,16GB,SPM 08:82422,,,IBMRI MO281,CFAR600,IBMRI MO281,18,11,3,1,20,5/20/16,,Goss' wilt,,
16GB1042,16GB,041:55(x)-bulk,,,Mo17,CFAR600,Mo17,18,12,3,1,20,5/20/16,,Goss' wilt,,
16GB1043,16GB,SPM 08:82352,,,IBMRI MO101,CFAR600,IBMRI MO101,18,13,3,1,20,5/20/16,,Goss' wilt,,
16GB1044,16GB,SPM 08:82283,,,IBMRI MO271,CFAR600,IBMRI MO271,18,14,3,1,20,5/20/16,,Goss' wilt,,
16GB1045,16GB,SPM 08: 82993,,,IBMRI MO347,CFAR600,IBMRI MO347,18,15,3,1,20,5/20/16,,Goss' wilt,,
16GB1046,16GB,SPM 05:777,,,IBMRI MO036,CFAR600,IBMRI MO036,18,16,4,1,20,5/20/16,,Goss' wilt,,
16GB1047,16GB,SPM 08: 82983,,,IBMRI MO368,CFAR600,IBMRI MO368,18,17,4,1,20,5/20/16,,Goss' wilt,,
16GB1048,16GB,SPM 08:82308,,,IBMRI MO315,CFAR600,IBMRI MO315,18,18,4,1,20,5/20/16,,Goss' wilt,,
16GB1049,16GB,SPM 08:82392,,,IBMRI MO141,CFAR600,IBMRI MO141,18,19,4,1,20,5/20/16,,Goss' wilt,,
16GB1050,16GB,SPM 08: 82979,,,IBMRI MO351,CFAR600,IBMRI MO351,18,20,4,1,20,5/20/16,,Goss' wilt,,
16GB1051,16GB,SPM 08:80726,,,IBMRI MO161,CFAR600,IBMRI MO161,18,21,4,1,20,5/20/16,,Goss' wilt,,
16GB1052,16GB,SPM 08:80652,,,IBMRI MO311,CFAR600,IBMRI MO311,18,22,4,1,20,5/20/16,,Goss' wilt,,
16GB1053,16GB,SPM 08:80709,,,IBMRI MO039,CFAR600,IBMRI MO039,18,23,4,1,20,5/20/16,,Goss' wilt,,
16GB1054,16GB,SPM 08:83257,,,IBMRI MO017 X IBMRI MO017,CFAR600,IBMRI MO017 X IBMRI MO017,18,24,4,1,20,5/20/16,,Goss' wilt,,
16GB1055,16GB,SPM 08:82288,,,IBMRI MO177,CFAR600,IBMRI MO177,18,25,4,1,20,5/20/16,,Goss' wilt,,
16GB1056,16GB,SPM 04:1934,,,IBMRI MO136,CFAR600,IBMRI MO136,18,26,4,1,20,5/20/16,,Goss' wilt,,
16GB1057,16GB,SPM 08:82281,,,IBMRI MO267,CFAR600,IBMRI MO267,18,27,4,1,20,5/20/16,,Goss' wilt,,
16GB1058,16GB,SPM 08:80738,,,IBMRI MO274,CFAR600,IBMRI MO274,18,28,4,1,20,5/20/16,,Goss' wilt,,
16GB1059,16GB,SPM 08: 82306,,,IBMRI MO358,CFAR600,IBMRI MO358,18,29,4,1,20,5/20/16,,Goss' wilt,,
16GB1060,16GB,SPM 08:80739,,,IBMRI MO286,CFAR600,IBMRI MO286,18,30,4,1,20,5/20/16,,Goss' wilt,,
16GB1061,16GB,SPM 08:82325,,,IBMRI MO032,CFAR600,IBMRI MO032,18,31,5,1,20,5/20/16,,Goss' wilt,,
16GB1062,16GB,SPM 04:1733,,,IBMRI MO191,CFAR600,IBMRI MO191,18,32,5,1,20,5/20/16,,Goss' wilt,,
16GB1063,16GB,SPM 04:1697-01,,,IBMRI MO133,CFAR600,IBMRI MO133,18,33,5,1,20,5/20/16,,Goss' wilt,,
16GB1064,16GB,SPM 09:91372-SEXF,,,IBMRI MO387,CFAR600,IBMRI MO387,18,34,5,1,20,5/20/16,,Goss' wilt,,
16GB1065,16GB,SPM 08:82390,,,IBMRI MO238,CFAR600,IBMRI MO238,18,35,5,1,20,5/20/16,,Goss' wilt,,
16GB1066,16GB,SPM 08:80731,,,IBMRI MO092,CFAR600,IBMRI MO092,18,36,5,1,20,5/20/16,,Goss' wilt,,
16GB1067,16GB,SPM 08:82329,,,IBMRI MO058,CFAR600,IBMRI MO058,18,37,5,1,20,5/20/16,,Goss' wilt,,
16GB1068,16GB,SPM 04:1613,,,IBMRI MO098,CFAR600,IBMRI MO098,18,38,5,1,20,5/20/16,,Goss' wilt,,
16GB1069,16GB,SPM 08:82296,,,IBMRI MO145,CFAR600,IBMRI MO145,18,39,5,1,20,5/20/16,,Goss' wilt,,
16GB1070,16GB,SPM 08:83334,,,IBMRI MO030 X IBMRI MO030,CFAR600,IBMRI MO030 X IBMRI MO030,18,40,5,1,20,5/20/16,,Goss' wilt,,
16GB1071,16GB,SPM 08:80661,,,IBMRI MO186,CFAR600,IBMRI MO186,18,41,5,1,20,5/20/16,,Goss' wilt,,
16GB1072,16GB,SPM 07:1671,,,IBMRI MO265,CFAR600,IBMRI MO265,18,42,5,1,20,5/20/16,,Goss' wilt,,
16GB1073,16GB,SPM 08:83570-SELFX,,,IBMRI MO202,CFAR600,IBMRI MO202,18,43,5,1,20,5/20/16,,Goss' wilt,,
16GB1074,16GB,SPM 08:80689,,,IBMRI MO156,CFAR600,IBMRI MO156,18,44,5,1,20,5/20/16,,Goss' wilt,,
