NelsonLab Isolate Template Help,,,,,,
"This file will be used to upload data to the NelsonDB. FIELD NAMES CAN BE ADDED, BUT SHOULD BE DONE SPARINGLY",,,,,,
,,,,,,
Template Name: isolate_v0.2,,,,,,
Authored 07/01/2015,,,,,,
,,,,,,
DataBase Header Dictionary,,,,,,
,,,,,,
Isolate Template,For recording information about Isolates.,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
Experiment Name,1,1,0,lab_obstracker,experiment_id=Experiment(experiment_name).id,The experiment name to which this Isolate is a part of.
Isolate ID,0,1,1,lab_isolatestock,isolate_id,"A unique identifier for the Isolate, such as 102G. MUST BE UNIQUE"
Location Name,1,0,0,lab_obstracker,location_id=Location(location_name).id,The location of where the Isolate is located. Leave blank if not applicable.
Date,0,0,0,lab_isolatestock,stock_date,The date when the Isolate was stocked. Recommended format : 2015-01-30 14:50. Leave blank if not applicable.
Extract Color,0,0,0,lab_isolatestock,extract_color,The visible color of the extract. Leave blank if not applicable.
Organism,0,0,0,lab_isolatestock,organism,"The organism that the extract was from. Example: Fungus, Bacterial. Leave blank if not applicable."
Isolate Comments,0,0,0,lab_isolatestock,comments,Any additional comments. Leave blank if not applicable.
Source Field Name,1,0,0,lab_obstracker,field_id = Field(field_name).id,The Field Name from which the Isolate was collected. Example Aurora NY. Leave blank if not relevant.
Source Culture ID,1,0,0,lab_obstracker,obs_culture_id = ObsCulture(culture_id).id,The Culture ID from which the Isolate was collected. Leave blank if not applicable.
Source DNA ID,1,0,0,lab_obstracker,obs_dna_id = ObsDNA(dna_id).id,The DNA ID from which the Isolate was collected. Leave blank if not applicable.
Source Plant ID,1,0,0,lab_obstracker,obs_plant_id = ObsPlant(plant_id).id,The Plant ID from which the Isolate was collected. Example 08PN0023_001. Leave blank if Isolate not collected from a plant.
Source Plot ID,1,0,0,lab_obstracker,obs_plot_id=ObsPlot(plot_id).id,The Plot ID from which the Isolate was collected. Example 09PN0023. Leave blank if not applicable.
Source Plate ID,1,0,0,lab_obstracker,obs_plate_id = ObsPlate(plate_id).id,The Plate ID from which the Isolate was collected. Leave blank if not applicable.
Source Tissue ID,1,0,0,lab_obstracker,obs_tissue_id = ObsTissue(tissue_id).id,The Tissue ID from which the Isolate was collected. Leave blank if Isolate not collected from a tissue.
Source Seed ID,1,0,0,lab_obstracker,stock_id=Stock(seed_id).id,The Seed ID from which the Isolate is associated. Leave blank if not applicable.
Source Sample ID,1,0,0,lab_obstracker,obs_sample_id=ObsSample(sample_id).id,The Sample ID from which the Isolate was collected. Leave blank if not applicable.
Source Microbe ID,1,0,0,lab_obstracker,obs_microbe_id = ObsMicrobe(microbe_id).id,The Microbe ID from which the Isolate was collected. Leave blank if not applicable.
Source Well ID,1,0,0,lab_obstracker,obs_well_id = ObsWell(well_id).id,The Well ID from which the Isolate was collected. Leave blank if not applicable.
Source IsolateStock ID,1,0,0,lab_obstracker,isolatestock_id=IsolateStock(isolatestock_id).id,The IsolateStock ID from which the Isolate was collected. Leave blank if not applicable.
,,,,,,
DEPENDENCIES,,,,,,
,,,,,,
Location,For recording the Isolate's location,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
Locality,1,1,0,lab_location,locality_id=Locality(locality).id,"The city, state, country, zipcode where the location is."
Location Name,0,1,1,lab_location,location_name,A descriptive name for the location. MUST BE UNIQUE
Building Name,0,0,0,lab_location,buiding_name,"The building name. Example: Plant Science, Emerson"
Room,0,0,0,lab_location,room,The room number or name
Shelf,0,0,0,lab_location,shelf,"The shelf in which the Isolate is located. Example: 1, 2, 3"
Column,0,0,0,lab_location,column,"The column in which the Isolate is located. Example: A, B, C"
Box Name,0,0,0,lab_location,box_name,The box which the Isolate is in.
Location Comments,0,0,0,lab_location,comments,Any additional comments about the location of the Isolate.
,,,,,,
Locality Template,For recording information about a locality.,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
City,0,0,0,lab_locality,city,The locality's city name.
State,0,0,0,lab_locality,state,The locality's state.
Country,0,0,0,lab_locality,country,The locality's country.
Zipcode,0,0,0,lab_locality,zipcode,The locality's zipcode.
