NelsonLab Plate Data Template Help,,,,,,
"This file will be used to upload data to the NelsonDB. FIELD NAMES CAN BE ADDED, BUT SHOULD BE DONE SPARINGLY",,,,,,
,,,,,,
Template Name: plate_data_v0.2,,,,,,
Authored 07/01/2015,,,,,,
,,,,,,
DataBase Header Dictionary,,,,,,
,,,,,,
Plate Template,For recording information about a plate.,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
Experiment Name,1,1,0,lab_obstracker,experiment_id=Experiment(experiment_name).id,The experiment name to which this plate is a part of.
Plate ID,0,1,1,lab_obsplate,plate_id,"A unique ID for the plate. Formats may vary, but this needs to be unique. MUST BE UNIQUE"
Location Name,1,0,0,lab_obstracker,Obstracker(plate).id,The location name of where the plate is located.
Plate Name,0,0,0,lab_obsplate,plate_name,A human readable name for the plate.
Date Plated,0,0,0,lab_obsplate,date_plated,The date when the plate was plated. Format: 2015-01-30
Plate Contents,0,0,0,lab_obsplate,plate_contents,"The contents of the plate. Example: Tissue, DNA"
Plate Rep,0,0,0,lab_obsplate,rep,The rep number of the plate.
Plate Type,0,0,0,lab_obsplate,plate_type,"The type of plate. Example: 96-well, Costar rack"
Plate Status,0,0,0,lab_obsplate,plate_status,A brief description of whether the plate exists or not. 
Plate Comments,0,0,0,lab_obsplate,comments,Any additional comments about the plate.
,,,,,,
DEPENDENCIES,,,,,,
,,,,,,
Location,For recording the isolates location,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
Locality,1,1,0,lab_location,locality_id=Locality(locality).id,"The city, state, country, zipcode where the location is."
Location Name,0,1,1,lab_location,location_name,A descriptive name for the location. MUST BE UNIQUE
Building Name,0,0,0,lab_location,buiding_name,"The building name. Example: Plant Science, Emerson"
Room,0,0,0,lab_location,room,The room number or name
Shelf,0,0,0,lab_location,shelf,"The shelf in which the plate is located. Example: 1, 2, 3"
Column,0,0,0,lab_location,column,"The column in which the plate is located. Example: A, B, C"
Box Name,0,0,0,lab_location,box_name,The box which the plate is in.
Location Comments,0,0,0,lab_location,comments,Any additional comments about the location of the plate. 
,,,,,,
Locality Template,For recording information about a locality.,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
City,0,0,0,lab_locality,city,The locality's city name.
State,0,0,0,lab_locality,state,The locality's state.
Country,0,0,0,lab_locality,country,The locality's country.
Zipcode,0,0,0,lab_locality,zipcode,The locality's zipcode.
