NelsonLab Row Data Template Help,,,
"This file will be used to upload data to the NelsonDB. FIELD NAMES CAN BE ADDED, BUT SHOULD BE DONE SPARINGLY",,,
,,,
Template Name: row_data_v0.1,,,
Authored 02/25/2015,,,
,,,
,,,
DataBase Header Dictionary,,,
,,,
Template Header,Database Table,Database Field,Definition
Row ID,lab_obsrow,row_id,A unique ID for the row planted in the format 08PN0023. MUST BE UNIQUE
Experiment Name,lab_obstracker,experiment_id = Experiment(name).id,The experiment's name that this row is a part of.
Source Seed ID,lab_obstracker,stock_id = Stock(seed_id).id,The seed ID for the seed that was planted in the row. The Seed ID is a unique ID in the format 08PN0023_001x. This is the ID that is printed on seed packets.
Pedigree,lab_stock,pedigree,The pedigree of the seed that was planted. E.G. B73
Field Name,lab_obstracker,field_id = Field(field_name).id,The field name in which the row was planted. Field names are unique. Example: Aurora NY
Row Name,lab_obsrow,row_name,A human readable name for the row.
Range,lab_obsrow,range_num,The number for the range in which the row was grown.
Plot,lab_obsrow,plot,The name of the plot in which the row was grown.
Block,lab_obsrow,block,The name of the block in which the row was grown.
Rep,lab_obsrow,rep,The rep that this row was a part of.
Kernel Num,lab_obsrow,kernel_num,The number of kernels that were planted in the row.
Planting Date,lab_obsrow,planting_date,The date that the row wwas planted. Format: 2015-01-30
Harvest Date,lab_obsrow,harvest_date,The date that the row was harvested. Format: 2015-01-30
Row Comments,lab_obsrow,comments,Any additioal comments for the row. 
