plot_id,trait,value,timestamp,person,location,number
13RPN00003,height,2,2016-04-15 20:50:03+0000, ,,1
13RPN00004,height,5,2016-04-15 20:50:06+0000, ,,1
13RPN00002,height,4,2016-04-23 00:40:11+0000, ,,1
13RPN00001,height,4,2016-04-23 00:40:13+0000, ,,1
13RPN00200,height,174,2016-04-23 00:40:14+0000, ,,1
13RPN00199,height,48,2016-04-23 00:40:16+0000, ,,1
13RPN00011,lodging,0,2016-04-26 02:14:38+0000,Tiffany Jamann,40.1125 ; -88.2268,1
13RPN00011,insect damage,FALSE,2016-04-26 02:14:41+0000,Tiffany Jamann,40.1125 ; -88.2268,1
13RPN00006,height,0,2016-04-26 21:29:02+0000,Tiffany Jamann,40.1125 ; -88.2268,1
13RPN00006,lodging,0,2016-05-04 01:45:27+0000,Tiffany Jamann,40.1125 ; -88.2268,1
13RPN00006,insect damage,FALSE,2016-05-04 01:45:28+0000,Tiffany Jamann,40.1125 ; -88.2268,1
13RPN00001,lodging,0,2016-06-02 15:26:59+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00001,insect damage,FALSE,2016-06-02 15:27:02+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00001,plants,10,2016-06-02 15:27:11+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00002,lodging,0,2016-06-02 15:28:02+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00002,insect damage,FALSE,2016-06-02 15:28:03+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00009,lodging,0,2016-06-02 15:30:56+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00009,insect damage,FALSE,2016-06-02 15:30:59+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00009,rust score,15,2016-06-02 15:31:28+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00015,lodging,0,2016-06-02 15:34:50+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00015,insect damage,FALSE,2016-06-02 15:34:52+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00013,lodging,0,2016-06-02 15:35:55+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00013,insect damage,FALSE,2016-06-02 15:35:56+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00077,lodging,0,2016-06-02 15:38:13+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00077,insect damage,FALSE,2016-06-02 15:38:14+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00077,plants,4,2016-06-02 15:38:24+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00078,Stand Counts,6,2016-06-02 15:38:32+0000,Laura Hedges,40.1125 ; -88.2268,1
13RPN00002,plants,3,6/10/2016 11:07,Laura Hedges,40.1125 ; -88.2268,1
13RPN00008,plants,2,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
13RPN00009,plants,1,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
13RPN00010,plants,1,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
13RPN00011,plants,3,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
