plot_id,range,row,treatment,pedigree,Location,trait,value,timestamp,person,location,number,experiment
MG_7416,1,6,6076-1,6076-1,Urbana,lodging,0,2016-05-12 02:44:00+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,1,6,6076-1,6076-1,Urbana,insect damage,FALSE,2016-05-12 02:44:01+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,1,6,6076-1,6076-1,Urbana,Stand Counts,33,2016-05-12 02:45:34+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,1,5,6076-2,6076-2,Urbana,Stand Counts,36,2016-05-12 02:46:36+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,1,4,6158-2,6158-2,Urbana,Stand Counts,35.5,2016-05-12 02:47:17+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,1,3,6158-3,6158-3,Urbana,Stand Counts,37,2016-05-12 02:47:52+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,1,2,6076-3,6076-3,Urbana,Stand Counts,35.5,2016-05-12 02:48:28+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,1,1,6158-1,6158-1,Urbana,Stand Counts,36,2016-05-12 02:49:02+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,2,1,6076-3,6076-3,Urbana,Stand Counts,36,2016-05-12 02:49:58+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,2,2,6158-2,6158-2,Urbana,Stand Counts,35.5,2016-05-12 02:50:34+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,2,3,6076-1,6076-1,Urbana,Stand Counts,36,2016-05-12 02:51:06+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,2,4,6158-3,6158-3,Urbana,Stand Counts,36.5,2016-05-12 02:51:43+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,2,5,6158-1,6158-1,Urbana,Stand Counts,36,2016-05-12 02:52:15+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,2,6,6076-2,6076-2,Urbana,Stand Counts,36.5,2016-05-12 02:52:51+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,3,6,6076-3,6076-3,Urbana,Stand Counts,35.5,2016-05-12 02:53:38+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,3,5,6076-1,6076-1,Urbana,Stand Counts,33.5,2016-05-12 02:54:46+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,3,4,6158-3,6158-3,Urbana,Stand Counts,35.5,2016-05-12 02:55:01+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,3,3,6076-2,6076-2,Urbana,Stand Counts,33,2016-05-12 02:55:41+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
MG_7416,3,2,6158-2,6158-2,Urbana,Stand Counts,36,2016-05-12 02:56:18+0000,Laura Hedges,40.1125 ; -88.2268,1,No Experiment
