NelsonLab Wells Data Template Help,,,,,,
"This file will be used to upload data to the NelsonDB. FIELD NAMES CAN BE ADDED, BUT SHOULD BE DONE SPARINGLY",,,,,,
,,,,,,
Template Name: wells_data_v0.2,,,,,,
Authored 07/01/2015,,,,,,
,,,,,,
DataBase Header Dictionary,,,,,,
,,,,,,
Well Template,For recording info about wells.,,,,,
Template Header,Dependent,Required,Unique,Database Table,Database Field,Definition
Well ID,0,1,1,lab_obswell,well_id,"A unique ID for the well. Formats may vary, but this needs to be unique. MUST BE UNIQUE"
Experiment Name,1,1,0,lab_obstracker,experiment_id=Experiment(experiment_name).id,The experiment name to which this well is a part of.
Well,0,0,0,lab_obswell,well,"The exact well being recorded. Example: A01, G12"
Inventory,0,0,0,lab_obswell,well_inventory,"A brief description of the amount in the well. Example: +, -"
Tube Label,0,0,0,lab_obswell,tube_label,"The label given to the tube, if the well contents were transferred to a separate tube. Leave blank if not applicable."
Well Comments,0,0,0,lab_obswell,comments,Any additional comments about the well.
Source Seed ID,1,0,0,lab_obstracker,stock_id = Stock(seed_id).id,"If the sample was selected using seed, provide the Seed ID here. If not applicable, leave blank."
Source Plot ID,1,0,0,lab_obstracker,obs_plot_id = ObsPlot(plot_id).id,"If the sample was selected from a row, provide the Plot ID here. If not applicable, leave blank."
Source Plant ID,1,0,0,lab_obstracker,obs_plant_id = ObsPlant(plant_id).id,"If the sample was selected from a plant, provide the Plant ID here. If not applicable, leave blank."
Source Microbe ID,1,0,0,lab_obstracker,obs_microbe_id = ObsMicrobe(microbe_id).id,"If the sample was selected from a microbe, provide the Microbe ID here. If not applicable, leave blank."
Source Culture ID,1,0,0,lab_obstracker,obs_culture_id = ObsCulture(culture_id).id,"If the sample was selected from a separate culture, provide the Culture ID here. If not applicable, leave blank."
Source Tissue ID,1,0,0,lab_obstracker,obs_tissue_id = ObsTissue(tissue_id).id,"If the sample was selected from a tissue, provide the Tissue ID here. If not applicable, leave blank."
Source Plate ID,1,0,0,lab_obstracker,obs-plate_id = ObsPlate(plate_id).id,"If the sample was selected from a specific plate, provide the Plate ID here. If not applicable leave blank."
