1,"(1, 'No Field')"
2,"(1, 'NULL')"
3,"(2, 'Clayton, NC')"
4,"(3, 'Aurora, NY')"
5,"(4, 'Homested, FL')"
6,"(5, 'Andrews, NC')"
7,"(6, 'Blacksburg, VA')"
8,"(7, 'NULL')"
9,"(8, 'Cornell GH, NY')"
10,"(9, 'Mississippi State, MS')"
11,"(10, 'Argentina')"
12,"(11, 'Chile')"
13,"(6, 'Blacksburg,VA')"
14,"(12, 'Puerto Rico Winter Nursery')"
15,"(13, 'Santa Rafaela, Graneros')"
16,"(8, 'Ithaca, NY')"
17,"(3, 'Aurora,NY')"
18,"(14, 'Texas')"
19,"(15, 'Mississippi')"
20,"(16, 'Ithaca, NY')"
21,"(17, 'Aurora, NY')"
22,"(18, 'NULL')"
23,"(19, 'NorthCarolina')"
24,"(18, 'StuebenCo.Addison, ZakeDininningFarmer')"
25,"(20, 'Lansing, NY')"
26,"(21, 'Livingston, NY')"
27,"(18, 'ATCC48332')"
28,"(18, 'ATCC48331')"
29,"(22, 'Ohio')"
30,"(23, 'Illinois')"
31,"(24, 'Pennsylvania')"
32,"(19, 'N.Carolina')"
33,"(25, 'Andrews, NC')"
34,"(26, 'Marion, NC')"
35,"(27, 'Ontario, NY')"
36,"(28, 'LeRoy, NY(GeneseeCounty)')"
37,"(18, 'unknown')"
38,"(29, 'Freeville, NY')"
39,"(18, 'Columbia, Co')"
40,"(30, 'Emerson Garden, NY')"
41,"(16, '366 Rd Ithaca, NY')"
42,"(16, '367 Rd Ithaca, NY')"
43,"(17, ""Buckler's middle field Aurora, NY"")"
