1,"(539, 6, 1, 'Af0001i', '97-004', 'NULL')"
2,"(539, 6, 1, 'Af0002i', '97-005', 'NULL')"
3,"(539, 6, 1, 'Af0003i', '92-002', 'NULL')"
4,"(540, 7, 1, 'Af0004i', 'WPW', 'NULL')"
5,"(541, 8, 1, 'Af0005i', 'Af-NY-001', 'Genera and species assigned based on morphological characters only')"
6,"(542, 9, 1, 'Af0006i', 'Af-NY-002', 'There where some fruiting bodies black to pink between the green sporulation. Might indicate some contamination')"
7,"(542, 9, 1, 'Af0007i', 'Af-NY-003', 'There where some fruiting bodies black to pink between the green sporulation. Might indicate some contamination')"
8,"(542, 9, 1, 'Af0008i', 'Af-NY-004', 'NULL')"
9,"(543, 10, 1, 'Af0009i', 'NRRL 3357', 'ATCC 200026=NRRL A-12590')"
10,"(544, 11, 1, 'Af0010i', 'NRRL 6536', 'ATCC 200025')"
11,"(545, 12, 2, 'Ag0001i', 'pBGgHg_AGL1', 'NULL')"
12,"(546, 10, 1, 'Ap0001i', 'NRRL 2999', 'ATCC 26691')"
13,"(546, 10, 1, 'Ap0002i', 'NRRL 3145', 'ATCC 26690')"
14,"(547, 13, 3, 'Cc0001i', 'BzNY001 (Et_isolate2)', 'NULL')"
15,"(548, 14, 3, 'Cc0002i', 'BzNY002 (labelled: new isolate 1)', 'NULL')"
16,"(548, 14, 3, 'Cc0003i', 'BzNY003 (labelled: new isolate 2)', 'NULL')"
17,"(549, 15, 3, 'Cc0004i', 'BzNY004', 'NULL')"
18,"(550, 16, 4, 'Ch0001i', 'Ch001', '""one colony per plate, otherwise white mycelium coming out""')"
19,"(551, 16, 4, 'Ch0002i', 'Ch002', '""one colony per plate, otherwise white mycelium coming out""')"
20,"(552, 17, 5, 'Cz0001i', 'NULL', 'NULL')"
21,"(553, 18, 5, 'Cz0002i', 'NULL', 'NULL')"
22,"(554, 19, 5, 'Cz0003i', 'NULL', 'NULL')"
23,"(555, 20, 5, 'Cz0004i', 'NULL', 'NULL')"
24,"(556, 21, 5, 'Cz0005i', 'NULL', 'NULL')"
25,"(557, 22, 5, 'Cz0006i', 'NULL', 'NULL')"
26,"(558, 19, 5, 'Cz0007i', 'NULL', 'NULL')"
27,"(559, 17, 5, 'Cz0008i', 'NULL', 'NULL')"
28,"(560, 23, 6, 'Gf0001i', 'NULL', 'Genera and species assigned based on morphological characters only')"
29,"(561, 24, 7, 'Gg0001i', 'Gg001', ""sporulation: Gary's lab suggested not to seal plates with parafilm. But contamination might happen without sealing. I sealed and still got enough sporulation (Chialin)."")"
30,"(562, 23, 6, 'Gz0001i', 'NULL', 'Genera and species assigned based on morphological characters only')"
31,"(563, 23, 8, 'Pe0001i', 'NULL', 'Genera and species assigned based on morphological characters only')"
32,"(564, 25, 9, 'Ps0001i', 'PaNY001', 'May NOT be P. stewartii - different color of the colony. Caused wilted plant')"
33,"(565, 26, 9, 'Ps0002i', 'PsNY002', 'NULL')"
34,"(565, 26, 9, 'Ps0003i', 'PsNY003', 'used on NILs')"
35,"(566, 27, 9, 'Ps0004i', 'Pa94-114', 'Path test by Dave Kalb; Chia-Lin Chung (30 Nov 2007)')"
36,"(567, 28, 10, 'St0001i', 'EtNY001', 'NULL')"
37,"(568, 29, 10, 'St0002i', 'EtNY002', 'NULL')"
38,"(569, 30, 10, 'St0003i', 'EtNY003', 'NULL')"
39,"(569, 30, 10, 'St0004i', 'EtNY004', 'NULL')"
40,"(570, 31, 10, 'St0005i', 'EtNY005', 'NULL')"
41,"(571, 32, 10, 'St0006i', 'EtNY006', 'NULL')"
42,"(572, 33, 10, 'St0007i', 'EtNY007', 'NULL')"
43,"(573, 33, 10, 'St0008i', 'EtNY008', 'NULL')"
44,"(574, 34, 10, 'St0009i', 'EtNY009', 'NULL')"
45,"(575, 35, 10, 'St0010i', 'EtNY010', 'NULL')"
46,"(575, 35, 10, 'St0011i', 'EtNY011', 'NULL')"
47,"(576, 36, 10, 'St0012i', 'Et3A', 'NULL')"
48,"(577, 36, 10, 'St0013i', 'Et28A', 'sequenced isolate, selected diverse isoloates for the QTL study')"
49,"(576, 36, 10, 'St0014i', 'Et45A', 'NULL')"
50,"(578, 36, 10, 'St0015i', 'Et46B', 'NULL')"
51,"(576, 36, 10, 'St0016i', 'Et52B', 'NULL')"
52,"(579, 37, 10, 'St0017i', 'Et63A', '""DO NOT use it. (When just isolated from infected leaf, Et63A grows much faster than Et86A, but it turns to be all white mycellium when grows from glycerol stock.)""')"
53,"(580, 37, 10, 'St0018i', 'Et86A', 'NULL')"
54,"(581, 38, 10, 'St0019i', 'Et10a', 'low growth rate (~1/3)')"
55,"(581, 36, 10, 'St0020i', 'Et150A_22505', 'NULL')"
56,"(582, 38, 10, 'St0021i', 'Et100-1A_22505', 'A3 (extremely low growth rate); A4 (normal growth rate)')"
57,"(582, 39, 10, 'St0022i', 'Et174A_22505', 'NULL')"
58,"(583, 39, 10, 'St0023i', 'Et229A_21705', 'NULL')"
59,"(584, 40, 10, 'St0024i', 'Et127A_22505', 'NULL')"
60,"(581, 40, 10, 'St0025i', 'Et152A_21705', 'NULL')"
61,"(584, 41, 10, 'St0026i', 'St26A', 'selected diverse isoloates for the QTL study')"
62,"(584, 41, 10, 'St0027i', 'St32A', 'selected diverse isoloates for the QTL study')"
63,"(576, 41, 10, 'St0028i', 'St34A', 'selected diverse isoloates for the QTL study')"
64,"(584, 41, 10, 'St0029i', 'St37A', 'selected diverse isoloates for the QTL study')"
65,"(581, 41, 10, 'St0030i', 'St38B', 'selected diverse isoloates for the QTL study')"
66,"(581, 41, 10, 'St0031i', 'St39A', 'selected diverse isoloates for the QTL study')"
67,"(581, 41, 10, 'St0032i', 'St40A', 'selected diverse isoloates for the QTL study')"
68,"(584, 41, 10, 'St0033i', 'St54A', 'selected diverse isoloates for the QTL study')"
69,"(576, 41, 10, 'St0034i', 'St62A', 'selected diverse isoloates for the QTL study')"
70,"(576, 41, 10, 'St0035i', 'St63A', 'selected diverse isoloates for the QTL study')"
71,"(585, 42, 10, 'St1001x', 'St1001x', 'St1x = F1 from StNY001 x St52B')"
72,"(585, 42, 10, 'St1002x', 'St1002x', 'St1x = F1 from StNY001 x St52B')"
73,"(585, 42, 10, 'St1003x', 'St1003x', 'St1x = F1 from StNY001 x St52B')"
74,"(585, 42, 10, 'St1004x', 'St1004x', 'St1x = F1 from StNY001 x St52B')"
75,"(585, 42, 10, 'St1005x', 'St1005x', 'St1x = F1 from StNY001 x St52B')"
76,"(585, 42, 10, 'St1006x', 'St1006x', 'St1x = F1 from StNY001 x St52B')"
77,"(585, 42, 10, 'St1007x', 'St1007x', 'St1x = F1 from StNY001 x St52B')"
78,"(585, 42, 10, 'St1008x', 'St1008x', 'St1x = F1 from StNY001 x St52B')"
79,"(585, 42, 10, 'St1009x', 'St1009x', 'St1x = F1 from StNY001 x St52B')"
80,"(585, 42, 10, 'St1010x', 'St1010x', 'St1x = F1 from StNY001 x St52B')"
81,"(585, 42, 10, 'St1011x', 'St1011x', 'St1x = F1 from StNY001 x St52B')"
82,"(585, 42, 10, 'St1012x', 'St1012x', 'St1x = F1 from StNY001 x St52B')"
83,"(585, 42, 10, 'St1013x', 'St1013x', 'St1x = F1 from StNY001 x St52B')"
84,"(585, 42, 10, 'St1014x', 'St1014x', 'St1x = F1 from StNY001 x St52B')"
85,"(585, 42, 10, 'St1015x', 'St1015x', 'St1x = F1 from StNY001 x St52B')"
86,"(585, 42, 10, 'St1016x', 'St1016x', 'St1x = F1 from StNY001 x St52B')"
87,"(585, 42, 10, 'St1017x', 'St1017x', 'St1x = F1 from StNY001 x St52B')"
88,"(585, 42, 10, 'St1018x', 'St1018x', 'St1x = F1 from StNY001 x St52B')"
89,"(585, 42, 10, 'St1019x', 'St1019x', 'St1x = F1 from StNY001 x St52B')"
