1,"('NULL', 'NULL', 'NULL', 'NULL')"
2,"('Clayton', 'NC', 'USA', 'NULL')"
3,"('Aurora', 'NY', 'USA', 'NULL')"
4,"('Homestead', 'FL', 'USA', 'NULL')"
5,"('Andrews', 'NC', 'USA', 'NULL')"
6,"('Blacksburg', 'VA', 'USA', 'NULL')"
7,"('NULL', 'NULL', 'USA', 'NULL')"
8,"('Ithaca', 'NY', 'USA', 'NULL')"
9,"('Mississippi State', 'MS', 'USA', 'NULL')"
10,"('NULL', 'NULL', 'Argentina', 'NULL')"
11,"('NULL', 'NULL', 'Chile', 'NULL')"
12,"('NULL', 'PR', 'USA', 'NULL')"
13,"('Santa Rafaela', 'NULL', 'NULL', 'NULL')"
14,"('NULL', 'TX', 'USA')"
15,"('NULL', 'MS', 'USA')"
16,"('Ithaca', 'NY', 'USA')"
17,"('Aurora', 'NY', 'USA')"
18,"('NULL', 'NULL', 'NULL')"
19,"('NULL', 'NC', 'USA')"
20,"('Lansing', 'NY', 'USA')"
21,"('Livingston', 'NY', 'USA')"
22,"('NULL', 'OH', 'USA')"
23,"('NULL', 'IL', 'USA')"
24,"('NULL', 'PN', 'USA')"
25,"('Andrews', 'NC', 'USA')"
26,"('Marion', 'NC', 'USA')"
27,"('Ontario', 'NY', 'USA')"
28,"('LeRoy', 'NY', 'USA')"
29,"('Freeville', 'NY', 'USA')"
30,"('Emerson Garden', 'NY', 'USA')"
