"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
"('05RW0341_004s', '05RW0341_004', '05RW0341', '05RW', 'NULL', '341', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[32-27]_04', 'NULL', '15', 'NULL', 'P30_Et4(F2s)', 'NULL', 'NULL')"
