name,location,date,tissue_collection,inoculations,inoculations_date1,inoculations_date2,inoculations_date3,pathogen,harvest_date,desc,notes,person
00CC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Various seed sources from Chia-Lin that did not have seed_id,These seed packages do are not labeled by seed_id but by seed_name,chialin_chung
04NC,"Clayton, NC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
05CN,"Aurora, NY",5/9/2005,y,1,7/18/2005 0:00,NULL,NULL,EtNY000,NULL,"""2005 Chia-Lin Chung NLB trial (SEC 4.5, ROW 165-249 in Margaret Smith's field plot)""",NULL,chialin_chung
05FL,"Homested, FL",NULL,y,0,NULL,NULL,NULL,NULL,NULL,2005-2006 Flordia Nursery,NULL,unknown
05RW,"Aurora, NY",NULL,y,0,NULL,NULL,NULL,NULL,NULL,"2005 Randy Aurora, NY Nursery",NULL,randy_wisser
06CN,"Aurora, NY",5/24/2006,y,1,7/10/2006 0:00,NULL,NULL,EtNY001,NULL,"""2006 Chia-Lin Chung NLB trial (CC06_C, CC06_H, CC06_T, CC06_D)""",NULL,chialin_chung
06FL,"Homested, FL",NULL,y,0,NULL,NULL,NULL,NULL,NULL,2006-2007 Flordia Nursery,NULL,unknown
06PN,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07CA,"Aurora, NY",5/23/2007,y,2,7/3/2007 0:00,8/27/2007 0:00,NULL,Gg001,NULL,2007 Chia-Lin Chung ALB and ASR trials (CC07_C_127-246),NULL,chialin_chung
07CG,"Andrews, NC",5/8/2007,y,0,NULL,NULL,NULL,Natural infection,NULL,NULL,NULL,unknown
07CNa,"Aurora, NY",5/23/2007,y,1,7/3/2007 0:00,NULL,NULL,EtNY001,NULL,"""2007 Chia-Lin Chung NLB trial (CC07_C_1-126, CC07_C_247-259, CC07_C_D, CC07_C_T)""",NULL,chialin_chung
07CNb,"Aurora, NY",5/29/2007,y,1,7/27/2007 0:00,NULL,NULL,EtNY001,NULL,"""2007 Chia-Lin Chung NLB trial (CC07_C_C2, CC07_C_T2)""",NULL,chialin_chung
07CS,"Clayton, NC",4/24/2007,y,1,5/31/2007 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,NULL,NULL,unknown
07FL,"Homested, FL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07JD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07JR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07K,"Aurora, NY",5/15/2007,y,1,7/2/2007 0:00,NULL,NULL,EtNY001,NULL,2007 NAM trial,NULL,unknown
07NC,"Clayton, NC",4/24/2007,y,1,5/31/2007 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,2008 SLB trial Jesse,NULL,jesse_poland
07PF,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07PG,"Andrews, NC",5/8/2007,y,0,NULL,NULL,NULL,GLS natural infection,NULL,2007 GLS trial Jesse,NULL,jesse_poland
07PK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07PN,"Aurora, NY",5/22/2007,y,0,NULL,NULL,NULL,NULL,NULL,2007 Jesse Nursery,NULL,jesse_poland
08BB,"Blacksburg, VA",5/22/2008,y,0,NULL,NULL,NULL,NULL,NULL,2008 NAM GLS trial,NULL,unknown
08CA,"Aurora, NY",5/23/2008,y,2,8/14/2008 0:00,8/22/2008 0:00,NULL,Gg001,NULL,2008 Chia-Lin Chung ASR trial,NULL,chialin_chung
08CF,"Aurora, NY",5/23/2008,y,1,6/28/2008 0:00,NULL,NULL,EtNY001,NULL,"""2008 Chia-Lin Chung fine-mapping for qEt1.06, 6.05 and 8.06""",NULL,chialin_chung
08CG,"Blacksburg, VA",5/22/2008,y,0,NULL,NULL,NULL,Natural infection,NULL,2008 Chia-Lin Chung GLS trial,NULL,chialin_chung
08CN,"Aurora, NY",5/23/2008,y,1,6/28/2008 0:00,NULL,NULL,EtNY001,NULL,2008 Chia-Lin Chung NLB trial,NULL,chialin_chung
08CP,"Aurora, NY",5/23/2008,y,1,6/30/2008 0:00,NULL,NULL,PsNY003,NULL,2008 Chia-Lin Chung Stewart's wilt trial,NULL,chialin_chung
08CS,"Clayton, NC",4/22/2008,y,1,6/9/2008 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,2008 Chia-Lin Chung SLB trial,NULL,chialin_chung
08CU,"Aurora, NY",5/23/2008,y,3,8/16/2008 0:00,8/21/2008 0:00,NULL,"""UmNY001, UmNY002, UmNY003, UmNY004, UmNY008, UmNY009""",NULL,2008 Chia-Lin Chung smut trial (a few late flowering lines were inoculated on 29-Aug-08),NULL,chialin_chung
08FL,"Homested, FL",11/17/2008,y,0,NULL,NULL,NULL,NULL,NULL,2008 Flordia Nursery,NULL,unknown
08GC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
08GC05,"Cornell GH, NY",4/28/2008,y,2,5/29/2008 0:00,5/30/2008 0:00,NULL,EtNY001,NULL,2008 Chia-Lin Chung fine-mapping for qEt8.06,NULL,chialin_chung
08GC08,"Cornell GH, NY",8/28/2008,NULL,1,9/25/2008 0:00,NULL,NULL,"""EtNY001, Et10a, Et86A, Et28A. Et1001A""",NULL,2008 Chia-Lin Chung NLB race specificity trial,NULL,chialin_chung
08GC12,"Cornell GH, NY",12/19/2008,y,0,NULL,NULL,NULL,NULL,NULL,2008 Chia-Lin Chung screening recombinants for qEt8.06,NULL,chialin_chung
08JD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
08K,"Aurora, NY",5/14/2008,y,1,6/26/2008 0:00,NULL,NULL,EtNY001,NULL,2008 NAM trial,NULL,unknown
08NC,"Clayton, NC",4/22/2008,y,1,6/9/2008 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,2008 SLB trial Jesse,NULL,jesse_poland
08PF,"Aurora, NY",5/16/2008,y,1,6/26/2008 0:00,NULL,NULL,EtNY001,NULL,2008 B73/32-24 F2:3 NLB trial,NULL,unknown
08PG,"Andrews, NC",NULL,y,0,NULL,NULL,NULL,GLS natural infection,NULL,2008 GLS trial,NULL,unknown
08PN,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
08PS,"Aurora, NY",6/5/2008,y,2,7/8/2008 0:00,7/16/2008 0:00,NULL,NULL,NULL,2008 B73/32-24 F2:3 rust trial,NULL,unknown
08PT,"Aurora, NY",5/14/2008,y,1,6/27/2008 0:00,NULL,NULL,EtNY001,NULL,2008 Teo trial,NULL,unknown
08RW,"Aurora, NY",5/14/2008,y,1,6/26/2008 0:00,NULL,NULL,EtNY001,NULL,2008 Randy SM trial,NULL,randy_wisser
08SB,"Aurora, NY",5/24/2008,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"2008 Santiago, founder inbreds",NULL,santiago_mideros
08SC,"Aurora, NY",5/24/2008,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"2008 Santiago, B73xCML322 pop",NULL,santiago_mideros
08SM,"Mississippi State, MS",4/24/2008,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"Santiago 2008 Mississippi, B73xCML322 pop, various NILs and inbreds","locally labeled as exp 810 & 811, rows 1- 412",santiago_mideros
08SN,"Aurora, NY",5/24/2008,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"2008 Santiago, Tx303 TBBC3 lines, CML52 HIFs",NULL,santiago_mideros
09AR,Argentina,11/12/2009,y,0,NULL,NULL,NULL,NULL,3/15/2010 0:00,2009-2010 Argentina Winter  Nursery; qEt1.06Tx303 fine mapping (to fix recombinants),NULL,unknown
09BB,"Blacksburg, VA",5/18/2009,y,0,NULL,NULL,NULL,NULL,NULL,2009 NAM GLS trial,planting occurred from the 18 to the 21st,unknown
09BD,"Blacksburg, VA",5/14/2009,y,0,NULL,NULL,NULL,NULL,10/17/2009 0:00,2009 Diversity Panel GLS trial,NULL,unknown
09CN1,"Aurora, NY",5/16/2009,y,1,6/25/2009 0:00,NULL,NULL,EtNY001,NULL,"2009 qEt1.06B73 , qEt6.05Tx303 Nursery",NULL,unknown
09CN2,"Aurora, NY",6/5/2009,y,1,6/25/2009 0:00,NULL,NULL,EtNY001,NULL,2009 qEt8.06DK888 Fine mapping,NULL,unknown
09CN3,"Aurora, NY",6/5/2009,y,1,6/25/2009 0:00,NULL,NULL,EtNY001,NULL,2009 qEt8.06DK888 Allelism test in field,NULL,unknown
09CP,"Aurora, NY",6/5/2009,y,1,6/19/2009 0:00,NULL,NULL,NULL,NULL,"2009 Stewart's Wilt Trial for 1.06, 6.05, 8.06",NULL,unknown
09CR,"Aurora, NY",5/15/2009,y,1,6/16/2009 0:00,NULL,NULL,NULL,NULL,"2009 Rust Trial for 1.02, 1.06, 8.06",NULL,unknown
09GC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
09GC01,"Cornell GH, NY",1/23/2009,y,0,NULL,NULL,NULL,NULL,NULL,2009 Chia-Lin Chung making crosses for allelic test of qEt8.06,NULL,chialin_chung
09GC06,"Cornell GH, NY",NULL,y,1,NULL,NULL,NULL,EtNY001,NULL,2009 qEt8.06DK888 Allelism test in GH,NULL,unknown
09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
09K,"Aurora, NY",5/18/2009,y,1,6/19/2009 0:00,7/7/2009 0:00,NULL,EtNY001,NULL,2009 NAM NLB trial,"first inoc spore susp., second inoc. Sorghum",unknown
09NC,"Clayton, NC",5/13/2009,y,1,6/12/2009 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,32-24 RIL trial for SLB,NULL,unknown
09PB,"Blacksburg, VA",6/1/2009,y,0,NULL,NULL,NULL,NULL,NULL,2009 Poland RS GLS trial,NULL,jesse_poland
09PF,"Aurora, NY",5/18/2009,y,1,6/19/2009 0:00,6/24/2009 0:00,NULL,EtNY001,NULL,32-24 RIL trial for NLB,"first inoc spore susp., second inoc. Sorghum",unknown
09PM,"Aurora, NY",5/18/2009,y,1,6/19/2009 0:00,6/24/2009 0:00,NULL,EtNY001,NULL,multi-scoring for NLB,"first inoc spore susp., second inoc. Sorghum",unknown
09PN,"Aurora, NY",5/15/2009,y,1,7/3/2009 0:00,NULL,NULL,EtNY001,NULL,Jesse Nursery,NULL,jesse_poland
09PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
09PS,"Aurora, NY",6/5/2009,y,1,7/16/2009 0:00,7/21/2009 0:00,NULL,rust,NULL,32-24 RIL trial for common rust / P29 & P30 pop per se,0.5ml @ 3x10^5 for first inoc.; 0.5ml @ 2x10^5 for second inoc.,unknown
09PT,"Aurora, NY",5/15/2009,NULL,1,6/19/2009 0:00,6/24/2009 0:00,NULL,EtNY001,NULL,teo introgression lines,"first inoc spore susp., second inoc. Sorghum",unknown
09PX,"Aurora, NY",6/5/2009,NULL,1,7/16/2009 0:00,7/21/2009 0:00,NULL,rust,NULL,multi-scoring for common rust,0.5ml @ 3x10^5 for first inoc.; 0.5ml @ 2x10^5 for second inoc.,unknown
09SB,"Aurora, NY",5/19/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,2009 Founder Inbreds,inoculated in-vitro at different dates,unknown
09SC,"Aurora, NY",5/19/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,2009 B73xCML322 RILs,inoculated in-vitro at different dates,unknown
09SM,"Mississippi State, MS",4/27/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"2009 Mississippi B73xCML322 RILs, founder inbreds and Tx303 NILs",inoculated in silk chanel and side needle at different dates; inbreds and NILs are exp927 and the RILs are exp926,unknown
09SN,"Aurora, NY",5/19/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,2009 Tx303 NILs,inoculated in-vitro at different dates,unknown
09ST,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
09SX,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
09TF,"Aurora, NY",5/15/2009,y,1,6/25/2009 0:00,NULL,NULL,EtNY001,NULL,1.02 Fine mapping,NULL,unknown
09TF1,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
09TF2,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
09TT,"Clayton, NY",4/21/2009,y,1,6/9/2009 0:00,NULL,NULL,NULL,NULL,2009 NC teo trial for NLB,NULL,unknown
10BB,"Blacksburg, VA",7/15/2010,y,0,NULL,NULL,NULL,NULL,NULL,2010 NAM GLS trial,that planting occurred from the 15th to the 16th,unknown
10CH,Chile,11/1/2010,y,0,NULL,NULL,NULL,NULL,NULL,R.Nelson lab winter nursery in Chile,"Managed by Tuniche Seed Services in Chile; exact planting date unknown, only reported as November 2010",unknown
