seed_id,plant_id,row_id,experiment_id,plant_name,row_name,seed_name,cross_type,male_parent_id,male_parent_name,program_origin,seed_pedigree,line_num,person_id,disease_info,notes,accession,lot
05FL0461_001b,05FL0461_001,05FL0461,05FL,NULL,461,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0461_002b,05FL0461_002,05FL0461,05FL,NULL,461,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0461_003b,05FL0461_003,05FL0461,05FL,NULL,461,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0461_004b,05FL0461_004,05FL0461,05FL,NULL,461,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0489_001b,05FL0489_001,05FL0489,05FL,NULL,489,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0489_002b,05FL0489_002,05FL0489,05FL,NULL,489,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0489_003b,05FL0489_003,05FL0489,05FL,NULL,489,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0489_004b,05FL0489_004,05FL0489,05FL,NULL,489,NULL,sib,NULL,NULL,NULL,IBM054,NULL,1,NULL,increase,NULL,NULL
05FL0473_001s,05FL0473_001,05FL0473,05FL,NULL,473,NULL,self,NULL,NULL,NULL,IBM054_01D_06H_2(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0473_002s,05FL0473_002,05FL0473,05FL,NULL,473,NULL,self,NULL,NULL,NULL,IBM054_01D_06H_2(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0473_003s,05FL0473_003,05FL0473,05FL,NULL,473,NULL,self,NULL,NULL,NULL,IBM054_01D_06H_2(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0473_004s,05FL0473_004,05FL0473,05FL,NULL,473,NULL,self,NULL,NULL,NULL,IBM054_01D_06H_2(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0470_001s,05FL0470_001,05FL0470,05FL,NULL,470,NULL,self,NULL,NULL,NULL,IBM054_11H_02G_1(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0470_002s,05FL0470_002,05FL0470,05FL,NULL,470,NULL,self,NULL,NULL,NULL,IBM054_11H_02G_1(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0470_003s,05FL0470_003,05FL0470,05FL,NULL,470,NULL,self,NULL,NULL,NULL,IBM054_11H_02G_1(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0470_004s,05FL0470_004,05FL0470,05FL,NULL,470,NULL,self,NULL,NULL,NULL,IBM054_11H_02G_1(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
05FL0471_001s,05FL0471_001,05FL0471,05FL,NULL,471,NULL,self,NULL,NULL,NULL,IBM054_11H_03G_1(BC4),NULL,30,NULL,IBM_HIFs,NULL,NULL
