64,Af0001i,97-004,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,Texas,TX,NULL,USA,NULL,Maize,NULL,david_kalb,A. flavus #1 SM,NULL,NULL,NULL
65,Af0002i,97-005,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,Texas,TX,NULL,USA,NULL,Maize,NULL,david_kalb,A. flavus #1 SM,NULL,NULL,NULL
66,Af0003i,92-002,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,Texas,TX,NULL,USA,NULL,Maize,NULL,david_kalb,A. flavus #1 SM,NULL,NULL,NULL
67,Af0004i,WPW,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,Mississippi,MS,NULL,USA,Fall 2006,A. flavus infected maize from Mississippi,santiago_mideros,NULL,A. flavus #1 SM,NULL,NULL,NULL
68,Af0005i,Af-NY-001,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,"Ithaca, NY",NY,Ithaca,USA,Spring 2007,Dust on lab bench after counting maize kernels from Aurora NY,santiago_mideros,NULL,A. flavus #1 SM,NULL,NULL,NULL
69,Af0006i,Af-NY-002,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,"Aurora, NY",NY,Aurora,USA,1-Apr-08,"""NAM shelling from aurora seed, rotted ear#1""",santiago_mideros,NULL,A. flavus #1 SM,NULL,NULL,NULL
70,Af0007i,Af-NY-003,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,"Aurora, NY",NY,Aurora,USA,1-Apr-08,"""NAM shelling from aurora seed, rotted ear#2""",santiago_mideros,NULL,A. flavus #1 SM,NULL,NULL,NULL
71,Af0008i,Af-NY-004,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,"Aurora, NY",NY,Aurora,USA,1-Apr-08,"""NAM shelling from aurora seed, rotted ear#3""",santiago_mideros,NULL,A. flavus #1 SM,NULL,NULL,NULL
72,Af0009i,NRRL 3357,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,NULL,NULL,NULL,NULL,NULL,Peanut cotyledons,f_hodges,ARS Culture Collection (NRRL),A. flavus #1 SM,NULL,NULL,ATCC 200026=NRRL A-12590
73,Af0010i,NRRL 6536,Aspergillus flavus,NULL,NULL,NULL,Aspergillus Ear Rot,NorthCarolina,NC,NULL,USA,NULL,Corn stalk,d_wicklow,ARS Culture Collection (NRRL),A. flavus #1 SM,NULL,NULL,ATCC 200025
