08K0001,NULL,08K,(B73؃ML228)S5,Z003E0120,NULL,07A4072,1,1,1,NULL,NULL,3,NULL,Trial,range:1 plot:1 orientation:N;,3
08K0002,NULL,08K,(B73؃ML228)S5,Z003E0032,NULL,07A5331,2,1,1,NULL,NULL,3,NULL,Trial,range:1 plot:1 orientation:S;,3
08K0003,NULL,08K,(B73؃ML228)S5,Z003E0200,NULL,07A4291,1,2,1,NULL,NULL,3,NULL,Trial,range:1 plot:2 orientation:N;,3
08K0004,NULL,08K,(B73؃ML228)S5,Z003E0068,NULL,07A1909,2,2,1,NULL,NULL,3,NULL,Trial,range:1 plot:2 orientation:S;,3
08K0005,NULL,08K,(B73؃ML228)S5,Z003E0165,NULL,07A4851,1,3,1,NULL,NULL,3,NULL,Trial,range:1 plot:3 orientation:N;,3
08K0006,NULL,08K,(B73؃ML228)S5,Z003E0092,NULL,07A1257,2,3,1,NULL,NULL,3,NULL,Trial,range:1 plot:3 orientation:S;,3
08K0007,NULL,08K,(B73؃ML228)S5,Z003E0024,NULL,07A4660,1,4,1,NULL,NULL,3,NULL,Trial,range:1 plot:4 orientation:N;,3
08K0008,NULL,08K,(B73؃ML228)S5,Z003E0073,NULL,07A1772,2,4,1,NULL,NULL,3,NULL,Trial,range:1 plot:4 orientation:S;,3
08K0009,NULL,08K,(B73؃ML228)S5,Z003E0197,NULL,07A5699,1,5,1,NULL,NULL,3,NULL,Trial,range:1 plot:5 orientation:N;,3
08K0010,NULL,08K,(B73؃ML228)S5,Z003E0152,NULL,07A4614,2,5,1,NULL,NULL,3,NULL,Trial,range:1 plot:5 orientation:S;,3
08K0011,NULL,08K,(B73؃ML228)S5,Z003E0075,NULL,07A1961,1,6,1,NULL,NULL,3,NULL,Trial,range:1 plot:6 orientation:N;,3
08K0012,NULL,08K,(B73؃ML228)S5,Z003E0131,NULL,07A5813,2,6,1,NULL,NULL,3,NULL,Trial,range:1 plot:6 orientation:S;,3
08K0013,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,1,7,1,NULL,NULL,3,NULL,Check,range:1 plot:7 orientation:N;,3
08K0014,NULL,08K,(B73؃ML228)S5,Z003E0043,NULL,07A3687,2,7,1,NULL,NULL,3,NULL,Trial,range:1 plot:7 orientation:S;,3
08K0015,NULL,08K,(B73؃ML228)S5,Z003E0066,NULL,06A0564,1,8,1,NULL,NULL,3,NULL,Trial,range:1 plot:8 orientation:N;,3
08K0016,NULL,08K,(B73؃ML228)S5,Z003E0199,NULL,07A5064,2,8,1,NULL,NULL,3,NULL,Trial,range:1 plot:8 orientation:S;,3
08K0017,NULL,08K,(B73؃ML228)S5,Z003E0085,NULL,07A0970,1,9,1,NULL,NULL,3,NULL,Trial,range:1 plot:9 orientation:N;,3
08K0018,NULL,08K,B73,Z003E0201,NULL,JK06-D1 bulk,2,9,1,NULL,NULL,3,NULL,CheckB,range:1 plot:9 orientation:S;,3
08K0019,NULL,08K,(B73؃ML228)S5,Z003E0116,NULL,07A4340,1,10,1,NULL,NULL,3,NULL,Trial,range:1 plot:10 orientation:N;,3
08K0020,NULL,08K,(B73؃ML228)S5,Z003E0164,NULL,07A4781,2,10,1,NULL,NULL,3,NULL,Trial,range:1 plot:10 orientation:S;,3
08K0021,NULL,08K,(B73؃ML228)S5,Z003E0053,NULL,07A3227,1,11,1,NULL,NULL,3,NULL,Trial,range:1 plot:11 orientation:N;,3
08K0022,NULL,08K,(B73؃ML228)S5,Z003E0103,NULL,06A0604,2,11,1,NULL,NULL,3,NULL,Trial,range:1 plot:11 orientation:S;,3
08K0023,NULL,08K,(B73؃ML228)S5,Z003E0104,NULL,07A5105,1,12,2,NULL,NULL,3,NULL,Trial,range:1 plot:12 orientation:N;,3
08K0024,NULL,08K,(B73؃ML228)S5,Z003E0027,NULL,07A4038,2,12,2,NULL,NULL,3,NULL,Trial,range:1 plot:12 orientation:S;,3
08K0025,NULL,08K,(B73؃ML228)S5,Z003E0056,NULL,07A5738,1,13,2,NULL,NULL,3,NULL,Trial,range:1 plot:13 orientation:N;,3
08K0026,NULL,08K,B73,Z003E0201,NULL,JK06-D1 bulk,2,13,2,NULL,NULL,3,NULL,CheckB,range:1 plot:13 orientation:S;,3
08K0027,NULL,08K,(B73؃ML228)S5,Z003E0004,NULL,07A4339,1,14,2,NULL,NULL,3,NULL,Trial,range:1 plot:14 orientation:N;,3
08K0028,NULL,08K,(B73؃ML228)S5,Z003E0087,NULL,07A4352,2,14,2,NULL,NULL,3,NULL,Trial,range:1 plot:14 orientation:S;,3
