09PF0002_000b,NULL,09PF0002,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_305_02_01_sib,P05L0305,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0003_000b,NULL,09PF0003,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_342_02_01_sib,P05L0342,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0004_000b,NULL,09PF0004,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_348_02_01_sib,P05L0348,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0005_000b,NULL,09PF0005,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_049_02_01_sib,P05L0049,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0006_000b,NULL,09PF0006,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_221_02_01_sib,P05L0221,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0007_000b,NULL,09PF0007,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_228_02_01_sib,P05L0228,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0008_000b,NULL,09PF0008,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_303_02_01_sib,P05L0303,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0009_000b,NULL,09PF0009,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_140_02_01_sib,P05L0140,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0010_000b,NULL,09PF0010,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_309_02_01_sib,P05L0309,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0011_000b,NULL,09PF0011,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_289_02_01_sib,P05L0289,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0012_000b,NULL,09PF0012,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_264_02_01_sib,P05L0264,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0013_000b,NULL,09PF0013,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_238_02_01_sib,P05L0238,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0014_000b,NULL,09PF0014,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_144_02_01_sib,P05L0144,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0015_000b,NULL,09PF0015,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_255_02_01_sib,P05L0255,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0016_000b,NULL,09PF0016,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_293_02_01_sib,P05L0293,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0017_000b,NULL,09PF0017,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_216_02_01_sib,P05L0216,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0018_000b,NULL,09PF0018,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_014_02_01_sib,P05L0014,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0019_000b,NULL,09PF0019,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_227_02_01_sib,P05L0227,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0020_000b,NULL,09PF0020,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_036_02_01_sib,P05L0036,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0021_000b,NULL,09PF0021,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_292_02_01_sib,P05L0292,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0023_000b,NULL,09PF0023,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_070_02_01_sib,P05L0070,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0024_000b,NULL,09PF0024,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_336_02_01_sib,P05L0336,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0025_000b,NULL,09PF0025,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_208_02_01_sib,P05L0208,3,NULL,2 plants sib; seed increase,NULL,NULL
09PF0026_000b,NULL,09PF0026,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_345_02_01_sib,P05L0345,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0027_000b,NULL,09PF0027,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_247_02_01_sib,P05L0247,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0028_000b,NULL,09PF0028,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_163_02_01_sib,P05L0163,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0029_000b,NULL,09PF0029,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_018_02_01_sib,P05L0018,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0030_000b,NULL,09PF0030,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_317_02_01_sib,P05L0317,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0031_000b,NULL,09PF0031,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_244_02_01_sib,P05L0244,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0032_000b,NULL,09PF0032,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_004_01_01_sib,P05L0004,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0033_000b,NULL,09PF0033,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_322_02_01_sib,P05L0322,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0034_000b,NULL,09PF0034,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_068_02_01_sib,P05L0068,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0035_000b,NULL,09PF0035,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_162_02_01_sib,P05L0162,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0036_000b,NULL,09PF0036,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_048_02_01_sib,P05L0048,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0037_000b,NULL,09PF0037,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_080_02_01_sib,P05L0080,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0038_000b,NULL,09PF0038,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_044_02_01_sib,P05L0044,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0039_000b,NULL,09PF0039,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_288_02_01_sib,P05L0288,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0040_000b,NULL,09PF0040,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_142_02_01_sib,P05L0142,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0041_000b,NULL,09PF0041,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_278_02_01_sib,P05L0278,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0042_000b,NULL,09PF0042,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_347_02_01_sib,P05L0347,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0043_000b,NULL,09PF0043,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_332_02_01_sib,P05L0332,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0045_000b,NULL,09PF0045,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_065_02_01_sib,P05L0065,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0046_000b,NULL,09PF0046,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_297_02_01_sib,P05L0297,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0047_000b,NULL,09PF0047,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_124_02_01_sib,P05L0124,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0048_000b,NULL,09PF0048,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_273_02_01_sib,P05L0273,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0049_000b,NULL,09PF0049,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_333_02_01_sib,P05L0333,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0050_000b,NULL,09PF0050,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_315_02_01_sib,P05L0315,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0052_000b,NULL,09PF0052,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_246_02_01_sib,P05L0246,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0053_000b,NULL,09PF0053,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_021_02_01_sib,P05L0021,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0054_000b,NULL,09PF0054,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_128_02_01_sib,P05L0128,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0055_000b,NULL,09PF0055,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_077_02_01_sib,P05L0077,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0056_000b,NULL,09PF0056,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_233_01_01_sib,P05L0233,3,NULL,8 plants sib; seed increase,NULL,NULL
09PF0057_000b,NULL,09PF0057,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_326_02_01_sib,P05L0326,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0058_000b,NULL,09PF0058,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_098_02_01_sib,P05L0098,3,NULL,4 plants sib; seed increase,NULL,NULL
09PF0059_000b,NULL,09PF0059,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_240_02_01_sib,P05L0240,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0060_000b,NULL,09PF0060,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_306_02_01_sib,P05L0306,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0061_000b,NULL,09PF0061,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_232_02_01_sib,P05L0232,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0063_000b,NULL,09PF0063,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_164_02_01_sib,P05L0164,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0064_000b,NULL,09PF0064,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_331_02_01_sib,P05L0331,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0065_000b,NULL,09PF0065,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_344_02_01_sib,P05L0344,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0066_000b,NULL,09PF0066,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_318_02_01_sib,P05L0318,3,NULL,6 plants sib; seed increase,NULL,NULL
09PF0067_000b,NULL,09PF0067,09PF,NULL,NULL,NULL,sib,NULL,NULL,NULL,B73/[32-24]-5_153_02_01_sib,P05L0153,3,NULL,6 plants sib; seed increase,NULL,NULL
