Current_barcode,Timestamp_barcode,Weight (g),Pedigree,Row,Year,Person,Cross Type,Ear Num,Source State,Source Name,Source Year,Source Row,Population,NewStorageBox,Date Entered,Entered By,Entered Initials,Range,Purpose,Male_parent_name,male_parent_id,notes
09JR1104_001s,20140801133247,103.9,P1-12,1104,2008,judy_kolkman,Self,1,NY,Aurora,2008,103,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1104_002s,20140801133248,54.1,P1-12,1104,2008,judy_kolkman,Self,2,NY,Aurora,2008,103,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1104_003s,20140801133249,86.1,P1-12,1104,2008,judy_kolkman,Self,3,NY,Aurora,2008,103,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1105_001s,20140801133250,24.4,P1-183,1105,2009,judy_kolkman,Self,1,NY,Aurora,2008,118,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1105_002s,20140801133251,49.3,P1-183,1105,2009,judy_kolkman,Self,2,NY,Aurora,2008,118,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1105_003s,20140801133252,66.3,P1-183,1105,2009,judy_kolkman,Self,3,NY,Aurora,2008,118,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1105_004s,20140801133253,59.2,P1-183,1105,2009,judy_kolkman,Self,4,NY,Aurora,2008,118,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1106_001s,20140801133254,31.7,P1-143,1106,2009,judy_kolkman,Self,1,NY,Aurora,2008,1117,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1106_002s,20140801133255,20.6,P1-143,1106,2009,judy_kolkman,Self,2,NY,Aurora,2008,1117,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1107_001s,20140801133256,47.6,P1-115,1107,2009,judy_kolkman,Self,1,NY,Aurora,2008,1104,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1108_001s,20140801133257,36.4,P1-31,1108,2009,judy_kolkman,Self,1,NY,Aurora,2008,1118,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
09JR1108_002s,20140801133258,71.8,P1-31,1108,2009,judy_kolkman,Self,2,NY,Aurora,2008,1118,RS F4S,09JR_Box001,7/3/2014,Nick M Diana A,NM,57,NLB,,,
