name,location,date,tissue_collection,inoculations,inoculations_date1,inoculations_date2,inoculations_date3,pathogen,harvest_date,desc,notes,person
00CC,NULL,1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Various seed sources from Chia-Lin that did not have seed_id,These seed packages do are not labeled by seed_id but by seed_name,chialin_chung
04NC,"Clayton, NC",1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
05CN,"Aurora, NY",2005-05-09,y,1,7/18/2005 0:00,NULL,NULL,EtNY000,NULL,"""2005 Chia-Lin Chung NLB trial (SEC 4.5, ROW 165-249 in Margaret Smith's field plot)""",NULL,chialin_chung
05FL,"Homested, FL",1900-01-01,y,0,NULL,NULL,NULL,NULL,NULL,2005-2006 Flordia Nursery,NULL,unknown
05RW,"Aurora, NY",1900-01-01,y,0,NULL,NULL,NULL,NULL,NULL,"2005 Randy Aurora, NY Nursery",NULL,randy_wisser
06CN,"Aurora, NY",2006-05-24,y,1,7/10/2006 0:00,NULL,NULL,EtNY001,NULL,"""2006 Chia-Lin Chung NLB trial (CC06_C, CC06_H, CC06_T, CC06_D)""",NULL,chialin_chung
06FL,"Homested, FL",1900-01-01,y,0,NULL,NULL,NULL,NULL,NULL,2006-2007 Flordia Nursery,NULL,unknown
06PN,"Aurora, NY",1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07CA,"Aurora, NY",2007-05-23,y,2,7/3/2007 0:00,8/27/2007 0:00,NULL,Gg001,NULL,2007 Chia-Lin Chung ALB and ASR trials (CC07_C_127-246),NULL,chialin_chung
07CG,"Andrews, NC",2007-05-08,y,0,NULL,NULL,NULL,Natural infection,NULL,NULL,NULL,unknown
07CNa,"Aurora, NY",2007-05-23,y,1,7/3/2007 0:00,NULL,NULL,EtNY001,NULL,"""2007 Chia-Lin Chung NLB trial (CC07_C_1-126, CC07_C_247-259, CC07_C_D, CC07_C_T)""",NULL,chialin_chung
07CNb,"Aurora, NY",2007-05-29,y,1,7/27/2007 0:00,NULL,NULL,EtNY001,NULL,"""2007 Chia-Lin Chung NLB trial (CC07_C_C2, CC07_C_T2)""",NULL,chialin_chung
07CS,"Clayton, NC",2007-04-24,y,1,5/31/2007 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,NULL,NULL,unknown
07FL,"Homested, FL",1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07JD,NULL,1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07JR,NULL,1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07K,"Aurora, NY",2007-05-15,y,1,7/2/2007 0:00,NULL,NULL,EtNY001,NULL,2007 NAM trial,NULL,unknown
07NC,"Clayton, NC",2007-04-24,y,1,5/31/2007 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,2008 SLB trial Jesse,NULL,jesse_poland
07PF,"Aurora, NY",1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07PG,"Andrews, NC",2007-05-08,y,0,NULL,NULL,NULL,GLS natural infection,NULL,2007 GLS trial Jesse,NULL,jesse_poland
07PK,NULL,1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
07PN,"Aurora, NY",2007-05-22,y,0,NULL,NULL,NULL,NULL,NULL,2007 Jesse Nursery,NULL,jesse_poland
08BB,"Blacksburg, VA",2008-05-22,y,0,NULL,NULL,NULL,NULL,NULL,2008 NAM GLS trial,NULL,unknown
08CA,"Aurora, NY",2008-05-23,y,2,8/14/2008 0:00,8/22/2008 0:00,NULL,Gg001,NULL,2008 Chia-Lin Chung ASR trial,NULL,chialin_chung
08CF,"Aurora, NY",2008-05-23,y,1,6/28/2008 0:00,NULL,NULL,EtNY001,NULL,"""2008 Chia-Lin Chung fine-mapping for qEt1.06, 6.05 and 8.06""",NULL,chialin_chung
08CG,"Blacksburg, VA",2008-05-22,y,0,NULL,NULL,NULL,Natural infection,NULL,2008 Chia-Lin Chung GLS trial,NULL,chialin_chung
08CN,"Aurora, NY",2008-05-23,y,1,6/28/2008 0:00,NULL,NULL,EtNY001,NULL,2008 Chia-Lin Chung NLB trial,NULL,chialin_chung
08CP,"Aurora, NY",2008-05-23,y,1,6/30/2008 0:00,NULL,NULL,PsNY003,NULL,2008 Chia-Lin Chung Stewart's wilt trial,NULL,chialin_chung
08CS,"Clayton, NC",2008-04-22,y,1,6/9/2008 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,2008 Chia-Lin Chung SLB trial,NULL,chialin_chung
08CU,"Aurora, NY",2008-05-23,y,3,8/16/2008 0:00,8/21/2008 0:00,NULL,"""UmNY001, UmNY002, UmNY003, UmNY004, UmNY008, UmNY009""",NULL,2008 Chia-Lin Chung smut trial (a few late flowering lines were inoculated on 29-Aug-08),NULL,chialin_chung
08FL,"Homested, FL",2008-11-17,y,0,NULL,NULL,NULL,NULL,NULL,2008 Flordia Nursery,NULL,unknown
08GC,NULL,1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
08GC05,"Cornell GH, NY",2008-04-28,y,2,5/29/2008 0:00,5/30/2008 0:00,NULL,EtNY001,NULL,2008 Chia-Lin Chung fine-mapping for qEt8.06,NULL,chialin_chung
08GC08,"Cornell GH, NY",2008-08-28,NULL,1,9/25/2008 0:00,NULL,NULL,"""EtNY001, Et10a, Et86A, Et28A. Et1001A""",NULL,2008 Chia-Lin Chung NLB race specificity trial,NULL,chialin_chung
08GC12,"Cornell GH, NY",2008-12-19,y,0,NULL,NULL,NULL,NULL,NULL,2008 Chia-Lin Chung screening recombinants for qEt8.06,NULL,chialin_chung
08JD,NULL,1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
08K,"Aurora, NY",2008-05-14,y,1,6/26/2008 0:00,NULL,NULL,EtNY001,NULL,2008 NAM trial,NULL,unknown
08NC,"Clayton, NC",2008-04-22,y,1,6/9/2008 0:00,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,2008 SLB trial Jesse,NULL,jesse_poland
08PF,"Aurora, NY",2008-05-16,y,1,6/26/2008 0:00,NULL,NULL,EtNY001,NULL,2008 B73/32-24 F2:3 NLB trial,NULL,unknown
08PG,"Andrews, NC",1900-01-01,y,0,NULL,NULL,NULL,GLS natural infection,NULL,2008 GLS trial,NULL,unknown
08PN,"Aurora, NY",1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
08PS,"Aurora, NY",2008-06-05,y,2,7/8/2008 0:00,7/16/2008 0:00,NULL,NULL,NULL,2008 B73/32-24 F2:3 rust trial,NULL,unknown
08PT,"Aurora, NY",2008-05-14,y,1,6/27/2008 0:00,NULL,NULL,EtNY001,NULL,2008 Teo trial,NULL,unknown
08RW,"Aurora, NY",2008-05-14,y,1,6/26/2008 0:00,NULL,NULL,EtNY001,NULL,2008 Randy SM trial,NULL,randy_wisser
08SB,"Aurora, NY",2008-05-24,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"2008 Santiago, founder inbreds",NULL,santiago_mideros
08SC,"Aurora, NY",2008-05-24,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"2008 Santiago, B73xCML322 pop",NULL,santiago_mideros
08SM,"Mississippi State, MS",2008-04-24,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"Santiago 2008 Mississippi, B73xCML322 pop, various NILs and inbreds","locally labeled as exp 810 & 811, rows 1- 412",santiago_mideros
08SN,"Aurora, NY",2008-05-24,y,1,NULL,NULL,NULL,NRRL 3357,NULL,"2008 Santiago, Tx303 TBBC3 lines, CML52 HIFs",NULL,santiago_mideros
