id,disease_name,abbrev,topic,,
1,Southern Corn Leaf Blight,SCLB,SCLB,,
2,Gray Leaf Spot,GLS,GLS,,
3,Southern Rust,Srust,Srust,,
4,Common Rust,Crrust,Crust,,
5,Sorghum downy mildew,SDM,DM,,
6,Sorghum downy mildew,NULL,DM,,
,Rajasthan downy mildew,,,,
,Java downy mildew,,,,
,P. zeae,,,,
,P. philippinensis,,,,
7,Common Smut,CS,Smut,,
8,Ear Rot,ER,Rot,,
9,Stalk Rot,SR,Rot,,
10,Anthracnose Stalk Rot,ASR,Rot,,
11,Aflatoxin Accumulation,AA,Alfatoxin,,
12,Stewarts Wilt,Swilt,Swilt,,
13,MSV,MSV,Viral,,
14,SMV,SMV,Viral,,
15,MMV,MMV,Viral,,
16,MCDF,MCDF,Viral,,
17,WSMV,WSMV,Viral,,
18,HPV,HPV,Viral,,
19,WSMV and HPV,WSMV and HPV,Viral,,
20,WSMV resistance,WSMVR,Viral,,
21,MDMV,MDMV,Viral,,
22,RGA,RGA,RGA,,
23,Days to Anthesis,NULL,FT,,
24,Days to Anthesis and Silk,NULL,FT,,
25,Days to Silking,NULL,FT,,
NULL,NULL,NULL,NULL,,
