phenotype_id,entity_id,entity_type,entity_name,experiment_id,trait_id,phenotype_value,phenotype_date,plate_id,phenotype_person_id,scoring_order,notes,changed,technical_rep,biological_rep,trait_id_buckler
510900,10SX0022_009,plant,,10SX,afl.slp,4,Aug 14 2010 12:00AM,,8,,A: 22_9 x 22_12,,,,
512038,10SX0022_009,plant,,10SX,afl.ssp,4,Aug 17 2010 12:00AM,,8,,,,A,,
512424,10SX0022_009,plant,,10SX,afl.sif,70,Aug 17 2010 12:00AM,,8,,,,A,,
510901,10SX0022_012,plant,,10SX,afl.slp,6,Aug 16 2010 12:00AM,,8,,B: 22_12 s,,,,
512039,10SX0022_012,plant,,10SX,afl.ssp,1,Aug 17 2010 12:00AM,,8,,,,B,,
512425,10SX0022_012,plant,,10SX,afl.sif,10,Aug 17 2010 12:00AM,,8,,,,B,,
510902,10SX0023_002,plant,,10SX,afl.slp,3,Aug 13 2010 12:00AM,,8,,C: 23_2 s,,,,
512040,10SX0023_002,plant,,10SX,afl.ssp,4,Aug 17 2010 12:00AM,,8,,,,C,,
512426,10SX0023_002,plant,,10SX,afl.sif,90,Aug 17 2010 12:00AM,,8,,,,C,,
510903,10SX0023_004,plant,,10SX,afl.slp,,,,8,,D: 23_4 x 23_2,,,,
512041,10SX0023_004,plant,,10SX,afl.ssp,0,Aug 17 2010 12:00AM,,8,,,,D,,
512427,10SX0023_004,plant,,10SX,afl.sif,0,Aug 17 2010 12:00AM,,8,,,,D,,
510904,10SX0024_001,plant,,10SX,afl.slp,6,Aug 16 2010 12:00AM,,8,,E: 24_1 x 23_3,,,,
512042,10SX0024_001,plant,,10SX,afl.ssp,1,Aug 17 2010 12:00AM,,8,,,,E,,
512428,10SX0024_001,plant,,10SX,afl.sif,10,Aug 17 2010 12:00AM,,8,,,,E,,
510905,10SX0024_005,plant,,10SX,afl.slp,,,,8,,F: 24_5 x 24_6,,,,
512043,10SX0024_005,plant,,10SX,afl.ssp,0,Aug 17 2010 12:00AM,,8,,,,F,,
512429,10SX0024_005,plant,,10SX,afl.sif,0,Aug 17 2010 12:00AM,,8,,,,F,,
510906,10SX0024_006,plant,,10SX,afl.slp,2,Aug 12 2010 12:00AM,,8,,G: 24_6 s,,,,
512044,10SX0024_006,plant,,10SX,afl.ssp,5,Aug 17 2010 12:00AM,,8,,,,G,,
512430,10SX0024_006,plant,,10SX,afl.sif,100,Aug 17 2010 12:00AM,,8,,,,G,,
556506,12MN0003_001,plant,6623-1,12MN,pln.dat,7/9/2012,,,25,,,,,,
556528,12MN0003_002,plant,6623-2,12MN,pln.dat,7/10/2012,,,25,,,,,,
556579,12MN0004_001,plant,6624-1,12MN,pln.dat,7/14/2012,,,25,,,,,,
556529,12MN0007_001,plant,6627-1,12MN,pln.dat,7/10/2012,,,25,,,,,,
556530,12MN0007_002,plant,6627-2,12MN,pln.dat,7/10/2012,,,25,,,,,,
556531,12MN0007_003,plant,6627-3,12MN,pln.dat,7/10/2012,,,25,,,,,,
556532,12MN0007_004,plant,6627-4,12MN,pln.dat,7/10/2012,,,25,,,,,,
556533,12MN0007_005,plant,6627-5,12MN,pln.dat,7/10/2012,,,25,,,,,,
556534,12MN0007_006,plant,6627-6,12MN,pln.dat,7/10/2012,,,25,,,,,,
556425,12MN0009_001,plant,6629-1,12MN,pln.dat,7/7/2012,,,25,,,,,,
556350,12MN0010_001,plant,6630-1,12MN,pln.dat,7/2/2012,,,25,,,,,,
556351,12MN0010_002,plant,6630-2,12MN,pln.dat,7/2/2012,,,25,,,,,,
556320,12MN0010_003,plant,6630-3,12MN,pln.dat,7/1/2012,,,25,,,,,,
556352,12MN0010_004,plant,6630-4,12MN,pln.dat,7/2/2012,,,25,,,,,,
556353,12MN0010_005,plant,6630-5,12MN,pln.dat,7/2/2012,,,25,,,,,,
556507,12MN0011_001,plant,6631-1,12MN,pln.dat,7/9/2012,,,25,,,,,,
556591,12MN0011_002,plant,6631-2,12MN,pln.dat,7/18/2012,,,25,,,,,,
556472,12MN0011_003,plant,6631-3,12MN,pln.dat,7/8/2012,,,25,,,,,,
556607,12MN0013_001,plant,6633-1,12MN,pln.dat,7/22/2012,,,25,,,,,,
556426,12MN0013_002,plant,6633-2,12MN,pln.dat,7/7/2012,,,25,,,,,,
556427,12MN0013_003,plant,6633-3,12MN,pln.dat,7/7/2012,,,25,,,,,,
556428,12MN0013_004,plant,6633-4,12MN,pln.dat,7/7/2012,,,25,,,,,,
556508,12MN0013_005,plant,6633-5,12MN,pln.dat,7/9/2012,,,25,,,,,,
556509,12MN0013_006,plant,6633-6,12MN,pln.dat,7/9/2012,,,25,,,,,,
556535,12MN0013_007,plant,6633-7,12MN,pln.dat,7/10/2012,,,25,,,,,,
556473,12MN0013_008,plant,6633-8,12MN,pln.dat,7/8/2012,,,25,,,,,,
556299,12MN0014_001,plant,6634-1,12MN,pln.dat,6/29/2012,,,25,,,,,,
556279,12MN0014_002,plant,6634-2,12MN,pln.dat,6/26/2012,,,25,,,,,,
556300,12MN0014_003,plant,6634-3,12MN,pln.dat,6/29/2012,,,25,,,,,,
556321,12MN0014_004,plant,6634-4,12MN,pln.dat,7/1/2012,,,25,,,,,,
556403,12MN0015_001,plant,6635-1,12MN,pln.dat,7/5/2012,,,25,,,,,,
556429,12MN0016_003,plant,6636-3,12MN,pln.dat,7/7/2012,,,25,,,,,,
556430,12MN0016_004,plant,6636-4,12MN,pln.dat,7/7/2012,,,25,,,,,,
556431,12MN0016_005,plant,6636-5,12MN,pln.dat,7/7/2012,,,25,,,,,,
556474,12MN0016_006,plant,6636-6,12MN,pln.dat,7/8/2012,,,25,,,,,,
556432,12MN0018_002,plant,6638-2,12MN,pln.dat,7/7/2012,,,25,,,,,,
556391,12MN0018_003,plant,6638-3,12MN,pln.dat,7/4/2012,,,25,,,,,,
556433,12MN0018_004,plant,6638-4,12MN,pln.dat,7/7/2012,,,25,,,,,,
556392,12MN0018_005,plant,6638-5,12MN,pln.dat,7/4/2012,,,25,,,,,,
556393,12MN0018_006,plant,6638-6,12MN,pln.dat,7/4/2012,,,25,,,,,,
556510,12MN0018_007,plant,6638-7,12MN,pln.dat,7/9/2012,,,25,,,,,,
556394,12MN0018_008,plant,6638-8,12MN,pln.dat,7/4/2012,,,25,,,,,,
556434,12MN0019_001,plant,6639-1,12MN,pln.dat,7/7/2012,,,25,,,,,,
556475,12MN0019_002,plant,6639-2,12MN,pln.dat,7/8/2012,,,25,,,,,,
556476,12MN0019_003,plant,6639-3,12MN,pln.dat,7/8/2012,,,25,,,,,,
556435,12MN0020_001,plant,6640-1,12MN,pln.dat,7/7/2012,,,25,,,,,,
556592,12MN0021_001,plant,6641-1,12MN,pln.dat,7/18/2012,,,25,,,,,,
556593,12MN0021_002,plant,6641-2,12MN,pln.dat,7/18/2012,,,25,,,,,,
556322,12MN0022_001,plant,6642-1,12MN,pln.dat,7/1/2012,,,25,,,,,,
556354,12MN0022_002,plant,6642-2,12MN,pln.dat,7/2/2012,,,25,,,,,,
556301,12MN0022_003,plant,6642-3,12MN,pln.dat,6/29/2012,,,25,,,,,,
556302,12MN0022_004,plant,6642-4,12MN,pln.dat,6/29/2012,,,25,,,,,,
556310,12MN0022_005,plant,6642-5,12MN,pln.dat,6/30/2012,,,25,,,,,,
556291,12MN0022_006,plant,6642-6,12MN,pln.dat,6/28/2012,,,25,,,,,,
556323,12MN0022_007,plant,6642-7,12MN,pln.dat,7/1/2012,,,25,,,,,,
556511,12MN0023_002,plant,6643-2,12MN,pln.dat,7/9/2012,,,25,,,,,,
556383,12MN0025_001,plant,6645-1,12MN,pln.dat,7/3/2012,,,25,,,,,,
556324,12MN0025_002,plant,6645-2,12MN,pln.dat,7/1/2012,,,25,,,,,,
556325,12MN0025_003,plant,6645-3,12MN,pln.dat,7/1/2012,,,25,,,,,,
556512,12MN0026_001,plant,6646-1,12MN,pln.dat,7/9/2012,,,25,,,,,,
556536,12MN0026_002,plant,6646-2,12MN,pln.dat,7/10/2012,,,25,,,,,,
556355,12MN0026_003,plant,6646-3,12MN,pln.dat,7/2/2012,,,25,,,,,,
556562,12MN0027_002,plant,6647-2,12MN,pln.dat,7/13/2012,,,25,,,,,,
556384,12MN0028_001,plant,6648-1,12MN,pln.dat,7/3/2012,,,25,,,,,,
556599,12MN0029_002,plant,6649-2,12MN,pln.dat,7/19/2012,,,25,,,,,,
556608,12MN0029_003,plant,6649-3,12MN,pln.dat,7/23/2012,,,25,,,,,,
556537,12MN0030_001,plant,6650-1,12MN,pln.dat,7/10/2012,,,25,,,,,,
556436,12MN0030_002,plant,6650-2,12MN,pln.dat,7/7/2012,,,25,,,,,,
556404,12MN0030_003,plant,6650-3,12MN,pln.dat,7/5/2012,,,25,,,,,,
556395,12MN0030_004,plant,6650-4,12MN,pln.dat,7/4/2012,,,25,,,,,,
556408,12MN0031_001,plant,6651-1,12MN,pln.dat,7/6/2012,,,25,,,,,,
556356,12MN0032_001,plant,6652-1,12MN,pln.dat,7/2/2012,,,25,,,,,,
556326,12MN0032_002,plant,6652-2,12MN,pln.dat,7/1/2012,,,25,,,,,,
556538,12MN0034_001,plant,6654-1,12MN,pln.dat,7/10/2012,,,25,,,,,,
556437,12MN0034_002,plant,6654-2,12MN,pln.dat,7/7/2012,,,25,,,,,,
556477,12MN0035_001,plant,6655-1,12MN,pln.dat,7/8/2012,,,25,,,,,,
