1,No Parameter,No Parameter,No Parameter,No Parameter,No Parameter
2,stw,Stewart's wilt,%,% diseased leaf area from 1-100 by 5,
3,gls.ds5,Grey leaf spot: 1-5 scale,dimensionless,1-5 by 0.25,ng 
4,plt.hgt,Plant height,cm,Plant height in cm,ee 
5,ear.hgt,Ear height,cm,Distance between ground and primary ear,ef 
6,gls.red,GLS red restriction/ red margin,dimensionless,1-3 score of lesion margin,njg
7,gls.thn,GLS thin lesion,dimensionless,"1-4 where 1=thin, 2=restricted, and 4=normal lesion margin",njh
8,row.qlt,Row quality,dimensionless,1-5 from 1=low to 5=high quality row data,wa 
9,std.cnt,Stand count,number of plants,Number of plants in row,bb 
10,tsl.dat,Tassel date,date,Date of anthesis,ca 
11,nlb.ds1,NLB: percentage 1-100 by 1,%,% diseased leaf area from 1-100 by 1,nz 
12,dys.ath,Days to anthesis,days,Days from planting to anthesis,cd 
13,nlb.ipd,NLB incubation period,days,Days from inoculation to appearance of lesions,nm 
14,,Unknown,Unknown,Unknown,qc 
15,,Unknown,Unknown,Unknown,
16,afl.afl,Aflatoxin,ppb,ppb aflatoxin,no 
17,afl.sic,Aspergillus flavus silk infection coefficient,dimensionless,A. flavus DNA/ total DNA on silks,np 
18,gls.ds5,Grey leaf spot: 1-5 scale,dimensionless,1-5 by 0.25,
19,nlb.ipd,NLB incubation period,days,Days from inoculation to appearance of lesions,
20,afl.ksp,Aspergillus flavus kernel sporulation,%,% kernel covered by A. flavus sporulation,
21,afl.slp,Aspergillus flavus silk latent period,days,Days from A. flavus inoculation to sporulation on silks,
22,afl.ssp,Aspergillus flavus silk sporulation,dimensionless,1-5 rating of sporulation on 10 silks,
23,afl.sif,Aspergillus flavus silk infection frequency,%,% silks with A. flavus sporulation,
24,afl.afl,Aflatoxin,ppb,ppb aflatoxin,
25,ear.hgt,Ear height,cm,Distance between ground and primary ear,
26,plt.hgt,Plant height,cm,Plant height in cm,
27,dys.ath,Days to anthesis,days,Days from planting to anthesis,
28,slb.ds9,Southern leaf blight,dimensionless,1-9,
29,nlb.ds1,NLB: percentage 1-100 by 1,%,% diseased leaf area from 1-100 by 1,
30,row.qlt,Row quality,dimensionless,1-5 from 1=low to 5=high quality row data,
31,tsl.dat,Tassel date,date,Date of anthesis,
32,rst.ds9,Common rust 1-9 scale,dimensionless,1-9,
33,std.cnt,Stand count,number of plants,Number of plants in row,
34,rst.ds5,Common rust 1-10 scale by 0.5,dimensionless,1-10,
35,smt.inc,Smut incidence,number of plants,Number of plants infected with smut,SI 
36,smt.plt,Smut plant number,number of plants,Number of plants in row scored for smut,SPN
37,smt.svt,Smut severity,dimensionless,1-10 from 1=small to 10=large gall,SS 
38,nlb.ds5,NLB: percentage 1-100 by 5,%,% diseased leaf area from 1-100 by 5,nk 
39,nlb.ipd,NLB incubation period,days,Days from inoculation to appearance of lesions,IP 
40,slk.dat,Silking date,date,Date of silking,cb 
41,rst.ds9,Common rust 1-9 scale,dimensionless,1-9,nc 
42,slb.ds9,Southern leaf blight,dimensionless,1-9,ne 
43,gls.ds9,Grey leaf spot: 1-9 scale,dimensionless,1-9 from 1=dead to 9=resistant,ng9
44,nlb.mcb,NLB lesion margin color (brown),dimensionless,1-10 from 1=light to 10=dark brown,njd
45,nlb.flk,NLB flecking,text,"0-10 from 0=none to 10=heavy flecking, and LM=lesion mimic",njf
46,nlb.shp,NLB lesion shape,text,Description of NLB lesion shape,njb
47,nlb.mcp,NLB lesion margin color (purple),dimensionless,1-10 from 1=light to 10=dark purple,nje
48,,Unknown,Unknown,Unknown,fza
49,,Unknown,Unknown,Unknown,ve#
50,,Unknown,Unknown,Unknown,vf#
51,nlb.clr,NLB lesion color,dimensionless,1-10 from 1=light to 10=dark,njc
52,,Unknown,Unknown,Unknown,njw
53,juv.plt,Juvenile plant type,dimensionless,1-5,
54,nlb.ds9,NLB: 1-9 scale,dimensionless,1-9 from 1=resistant to 9=dead,
55,nlb.ds2,NLB: DLA percentage,%,% diseased leaf area,
56,dis.not,Disease notes,text,Description of symptoms,
57,dis.not,Disease notes,text,Description of symptoms,
