10JH0001_001b,10JH0001_001,10JH0001,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0001_001s,10JH0001_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0002_001b,10JH0002_001,10JH0002,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0002_001s,10JH0002_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0003_001b,10JH0003_001,10JH0003,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0003_001s,10JH0003_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0004_001b,10JH0004_001,10JH0004,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0004_001s,10JH0004_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0005_001b,10JH0005_001,10JH0005,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0005_001s,10JH0005_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0006_001b,10JH0006_001,10JH0006,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0006_001s,10JH0006_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0007_001b,10JH0007_001,10JH0007,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S5,NULL,31,NULL,NULL,NULL,NULL
10JH0007_001s,10JH0007_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0008_001b,10JH0008_001,10JH0008,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0008_001s,10JH0008_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0009_001b,10JH0009_001,10JH0009,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0009_001s,10JH0009_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0010_001b,10JH0010_001,10JH0010,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0010_001s,10JH0010_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0011_001s,10JH0011_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0012_001b,10JH0012_001,10JH0012,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S5,NULL,31,NULL,NULL,NULL,NULL
10JH0012_001s,10JH0012_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0013_001b,10JH0013_001,10JH0013,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0013_001s,10JH0013_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B73,NULL,31,NULL,NULL,NULL,NULL
10JH0014_001b,10JH0014_001,10JH0014,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0014_001s,10JH0014_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B73,NULL,31,NULL,NULL,NULL,NULL
10JH0015_001b,10JH0015_001,10JH0015,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0015_001s,10JH0015_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0016_001b,10JH0016_001,10JH0016,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0016_001s,10JH0016_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0017_001b,10JH0017_001,10JH0017,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0017_001s,10JH0017_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0018_001s,10JH0018_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0019_001b,10JH0019_001,10JH0019,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0019_001s,10JH0019_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0020_001b,10JH0020_001,10JH0020,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0020_001s,10JH0020_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xKi11)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0021_001s,10JH0021_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Marker,NULL,31,NULL,NULL,NULL,NULL
10JH0022_001b,10JH0022_001,10JH0022,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML333)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0022_001s,10JH0022_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Marker,NULL,31,NULL,NULL,NULL,NULL
10JH0023_001b,10JH0023_001,10JH0023,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML333)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0023_001s,10JH0023_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B73,NULL,31,NULL,NULL,NULL,NULL
10JH0024_001b,10JH0024_001,10JH0024,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML333)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0024_001s,10JH0024_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B73,NULL,31,NULL,NULL,NULL,NULL
10JH0025_001b,10JH0025_001,10JH0025,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML333)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0025_001s,10JH0025_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0026_001s,10JH0026_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0027_001b,10JH0027_001,10JH0027,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML333)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0027_001s,10JH0027_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0028_001b,10JH0028_001,10JH0028,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML333)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0028_001s,10JH0028_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0029_001b,10JH0029_001,10JH0029,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML333)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0029_001s,10JH0029_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0030_001s,10JH0030_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0031_001b,10JH0031_001,10JH0031,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML228)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0031_001s,10JH0031_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0032_001b,10JH0032_001,10JH0032,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML228)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0032_001s,10JH0032_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0033_001b,10JH0033_001,10JH0033,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML228)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0033_001s,10JH0033_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0034_001b,10JH0034_001,10JH0034,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML228)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0034_001s,10JH0034_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0035_001b,10JH0035_001,10JH0035,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML228)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0035_001s,10JH0035_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0036_001b,10JH0036_001,10JH0036,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xCML228)S5,NULL,31,NULL,NULL,NULL,NULL
10JH0036_001s,10JH0036_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0037_001s,10JH0037_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0038_001b,10JH0038_001,10JH0038,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMS71)S5,NULL,31,NULL,NULL,NULL,NULL
10JH0038_001s,10JH0038_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0039_001b,10JH0039_001,10JH0039,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMS71)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0039_001s,10JH0039_001,NOID,10JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73xMo18W)S6,NULL,31,NULL,NULL,NULL,NULL
10JH0040_001b,10JH0040_001,10JH0040,10JH,NULL,NULL,NULL,sib,NULL,NULL,NULL,(B73xMS71)S6,NULL,31,NULL,NULL,NULL,NULL
