phenotype_id,entity_id,entity_type,entity_name,experiment_id,trait_id,phenotype_value,phenotype_date,plate_id,phenotype_person_id,scoring_order,notes,changed,technical_rep,biological_rep,trait_id_buckler
512918,08SM0292,DNA,TBBC3-03,08SM,afl.kic,0.327311371,,090610SM_01,8,,T,,1,1,
512919,08SM0292,DNA,TBBC3-03,08SM,afl.kic,0.234192037,,090610SM_01,8,,T,,2,1,
512920,08SM0292,DNA,TBBC3-03,08SM,afl.kic,0.37587822,,090610SM_01,8,,T,,3,1,
512954,08SM0293,DNA,TBBC3-19,08SM,afl.kic,0.671171171,,090610SM_01,8,,T,,1,1,
512955,08SM0293,DNA,TBBC3-19,08SM,afl.kic,0.570784491,,090610SM_01,8,,T,,2,1,
512956,08SM0293,DNA,TBBC3-19,08SM,afl.kic,1.367448151,,090610SM_01,8,,T,,3,1,
512945,08SM0294,DNA,TBBC3-14,08SM,afl.kic,0.064178127,,090610SM_01,8,,T,,1,1,
512946,08SM0294,DNA,TBBC3-14,08SM,afl.kic,0.118194842,,090610SM_01,8,,T,,2,1,
512947,08SM0294,DNA,TBBC3-14,08SM,afl.kic,0.285816619,,090610SM_01,8,,T,,3,1,
512936,08SM0295,DNA,TBBC3-13,08SM,afl.kic,0.09954955,,090610SM_01,8,,T,,1,1,
512937,08SM0295,DNA,TBBC3-13,08SM,afl.kic,0.331521739,,090610SM_01,8,,T,,2,1,
512938,08SM0295,DNA,TBBC3-13,08SM,afl.kic,0.264945652,,090610SM_01,8,,T,,3,1,
512927,08SM0296,DNA,TBBC3-06,08SM,afl.kic,0.75468649,,090610SM_01,8,,T,,1,1,
512928,08SM0296,DNA,TBBC3-06,08SM,afl.kic,1.086647727,,090610SM_01,8,,T,,2,1,
512929,08SM0296,DNA,TBBC3-06,08SM,afl.kic,1.480113636,,090610SM_01,8,,T,,3,1,
512963,08SM0297,DNA,TBBC3-24,08SM,afl.kic,0.804054054,,090610SM_01,8,,T,,1,1,
512964,08SM0297,DNA,TBBC3-24,08SM,afl.kic,0.239189189,,090610SM_01,8,,T,,2,1,
512965,08SM0297,DNA,TBBC3-24,08SM,afl.kic,0.291891892,,090610SM_01,8,,T,,3,1,
512972,08SM0298,DNA,TBBC3-52,08SM,afl.kic,0.123221757,,090610SM_01,8,,T,,1,1,
512973,08SM0298,DNA,TBBC3-52,08SM,afl.kic,0.019991857,,090610SM_01,8,,T,,2,1,
512974,08SM0298,DNA,TBBC3-52,08SM,afl.kic,0.038477199,,090610SM_01,8,,T,,3,1,
512744,08SM0299,DNA,1889_1_6F_04C_003.01,08SM,afl.kic,0.733426966,,090610SM_01,8,,H,,1,1,
512745,08SM0299,DNA,1889_1_6F_04C_003.01,08SM,afl.kic,1.059679767,,090610SM_01,8,,H,,2,1,
512746,08SM0299,DNA,1889_1_6F_04C_003.01,08SM,afl.kic,1.840611354,,090610SM_01,8,,H,,3,1,
512750,08SM0300,DNA,1889_1_6F_05F_007.04,08SM,afl.kic,4.201785714,,090610SM_01,8,,H,,1,1,
512751,08SM0300,DNA,1889_1_6F_05F_007.04,08SM,afl.kic,0.496070727,,090610SM_01,8,,H,,2,1,
512752,08SM0300,DNA,1889_1_6F_05F_007.04,08SM,afl.kic,0.761951539,,090610SM_01,8,,H,,3,1,
512735,08SM0307,DNA,1883_1_02C,08SM,afl.kic,0.031458333,,090610SM_01,8,,H,,1,1,
512736,08SM0307,DNA,1883_1_02C,08SM,afl.kic,0.003054245,,090610SM_01,8,,H,,2,1,
512737,08SM0307,DNA,1883_1_02C,08SM,afl.kic,0.003529874,,090610SM_01,8,,H,,3,1,
512726,08SM0308,DNA,1883_1_01C,08SM,afl.kic,0.013423295,,090610SM_01,8,,H,,1,1,
512727,08SM0308,DNA,1883_1_01C,08SM,afl.kic,0.017621145,,090610SM_01,8,,H,,2,1,
512728,08SM0308,DNA,1883_1_01C,08SM,afl.kic,0.030176211,,090610SM_01,8,,H,,3,1,
512843,08SM0309,DNA,M37W,08SM,afl.kic,0,,090610SM_01,8,,I,,1,1,
512844,08SM0309,DNA,M37W,08SM,afl.kic,0.011131443,,090610SM_01,8,,I,,2,1,
512845,08SM0309,DNA,M37W,08SM,afl.kic,0,,090610SM_01,8,,I,,3,1,
512909,08SM0310,DNA,Oh7B,08SM,afl.kic,0.07240099,,090610SM_01,8,,I,,1,1,
512910,08SM0310,DNA,Oh7B,08SM,afl.kic,0.067450495,,090610SM_01,8,,I,,2,1,
512911,08SM0310,DNA,Oh7B,08SM,afl.kic,0.148205446,,090610SM_01,8,,I,,3,1,
512795,08SM0311,DNA,CML52,08SM,afl.kic,0.000831683,,090610SM_01,8,,IH,,1,1,
512796,08SM0311,DNA,CML52,08SM,afl.kic,0.001042079,,090610SM_01,8,,IH,,2,1,
512797,08SM0311,DNA,CML52,08SM,afl.kic,0.028712871,,090610SM_01,8,,IH,,3,1,
512891,08SM0312,DNA,NC358,08SM,afl.kic,0.020973451,,090610SM_01,8,,I,,1,1,
512892,08SM0312,DNA,NC358,08SM,afl.kic,0.042876106,,090610SM_01,8,,I,,2,1,
512893,08SM0312,DNA,NC358,08SM,afl.kic,0.071681416,,090610SM_01,8,,I,,3,1,
512879,08SM0313,DNA,MS71,08SM,afl.kic,0.191721133,,090610SM_01,8,,I,,1,1,
512880,08SM0313,DNA,MS71,08SM,afl.kic,0.117647059,,090610SM_01,8,,I,,2,1,
512881,08SM0313,DNA,MS71,08SM,afl.kic,0.436819172,,090610SM_01,8,,I,,3,1,
512981,08SM0314,DNA,Tx303,08SM,afl.kic,0.044854722,,090610SM_01,8,,IT,,1,1,
512982,08SM0314,DNA,Tx303,08SM,afl.kic,0.158274648,,090610SM_01,8,,IT,,2,1,
512983,08SM0314,DNA,Tx303,08SM,afl.kic,0.241197183,,090610SM_01,8,,IT,,3,1,
512834,08SM0315,DNA,Ky21,08SM,afl.kic,0.045176849,,090610SM_01,8,,I,,1,1,
512835,08SM0315,DNA,Ky21,08SM,afl.kic,0.028830409,,090610SM_01,8,,I,,2,1,
512836,08SM0315,DNA,Ky21,08SM,afl.kic,0.132748538,,090610SM_01,8,,I,,3,1,
512825,08SM0316,DNA,Ki3,08SM,afl.kic,0.0068125,,090610SM_01,8,,I,,1,1,
512826,08SM0316,DNA,Ki3,08SM,afl.kic,0.018579627,,090610SM_01,8,,I,,2,1,
512827,08SM0316,DNA,Ki3,08SM,afl.kic,0.046556671,,090610SM_01,8,,I,,3,1,
512780,08SM0317,DNA,CML103,08SM,afl.kic,0.60539629,,090610SM_01,8,,I,,1,1,
512781,08SM0317,DNA,CML103,08SM,afl.kic,1.708333333,,090610SM_01,8,,I,,2,1,
512782,08SM0317,DNA,CML103,08SM,afl.kic,3.942307692,,090610SM_01,8,,I,,3,1,
512771,08SM0318,DNA,B97,08SM,afl.kic,0,,090610SM_01,8,,I,,1,1,
512772,08SM0318,DNA,B97,08SM,afl.kic,0.52922423,,090610SM_01,8,,I,,2,1,
512773,08SM0318,DNA,B97,08SM,afl.kic,9.19E-06,,090610SM_01,8,,I,,3,1,
512759,08SM0319,DNA,B73,08SM,afl.kic,2.707253886,,090610SM_01,8,,ITH,,1,1,
512760,08SM0319,DNA,B73,08SM,afl.kic,1.0430839,,090610SM_01,8,,ITH,,2,1,
512761,08SM0319,DNA,B73,08SM,afl.kic,1.749433107,,090610SM_01,8,,ITH,,3,1,
512786,08SM0320,DNA,CML247,08SM,afl.kic,6.40E-05,,090610SM_01,8,,I,,1,1,
512787,08SM0320,DNA,CML247,08SM,afl.kic,0.000303223,,090610SM_01,8,,I,,2,1,
512788,08SM0320,DNA,CML247,08SM,afl.kic,0.00094078,,090610SM_01,8,,I,,3,1,
512807,08SM0322,DNA,IBM262,08SM,afl.kic,0.157008614,,090610SM_01,8,,I,,1,1,
512808,08SM0322,DNA,IBM262,08SM,afl.kic,0.185201401,,090610SM_01,8,,I,,2,1,
512809,08SM0322,DNA,IBM262,08SM,afl.kic,0.356392294,,090610SM_01,8,,I,,3,1,
512816,08SM0323,DNA,IBM54,08SM,afl.kic,0.10528169,,090610SM_01,8,,I,,1,1,
