ID,seed_id,seed_name,inventory_date,inventory_person,seed_person_id,location,notes,weight_g
54372529,09PN0470_007x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372530,09PN0470_008x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372531,09PN0470_009x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372532,09PN0470_010x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372536,09PN0471_005x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372537,09PN0471_006x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372538,09PN0471_007x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372539,09PN0471_008x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372540,09PN0471_009x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372541,09PN0471_010x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372542,09PN0472_001s,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372543,09PN0472_002s,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372544,09PN0472_005x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372545,09PN0472_006x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372546,09PN0472_007x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372533,09PN0471_001s,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372534,09PN0471_002s,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372535,09PN0471_003s,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372547,09PN0472_008x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372548,09PN0472_009x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54372549,09PN0472_010x,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
54341608,09PN0473_001s,NULL,Apr 20 2010 12:00AM,sara_heins,0,Dimmock,NULL,NULL
54341609,09PN0473_002s,NULL,Apr 20 2010 12:00AM,sara_heins,0,Dimmock,NULL,NULL
54372550,09PN0473_003s,NULL,Jun 27 2011 12:00AM,ariel_fialko,3,Row 9,NULL,NULL
