"('13LN1321', '1321', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0191')"
"('13LN1322', '1322', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0122')"
"('13LN1323', '1323', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0147')"
"('13LN1324', '1324', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'CML333')"
"('13LN1325', '1325', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0157')"
"('13LN1326', '1326', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0142')"
"('13LN1327', '1327', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0198')"
"('13LN1328', '1328', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0186')"
"('13LN1329', '1329', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0175')"
"('13LN1330', '1330', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'B73')"
"('13LN1331', '1331', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0105')"
"('13LN1332', '1332', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0026')"
"('13LN1333', '1333', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0168')"
"('13LN1334', '1334', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0117')"
"('13LN1335', '1335', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0050')"
"('13LN1336', '1336', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0143')"
"('13LN1337', '1337', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0098')"
"('13LN1338', '1338', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0027')"
"('13LN1339', '1339', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0011')"
"('13LN1340', '1340', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0001')"
"('13LN1341', '1341', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0061')"
"('13LN1342', '1342', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0177')"
"('13LN1343', '1343', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0133')"
"('13LN1344', '1344', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0091')"
"('13LN1345', '1345', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0059')"
"('13LN1346', '1346', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0097')"
"('13LN1347', '1347', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0161')"
"('13LN1348', '1348', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0063')"
"('13LN1349', '1349', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0166')"
"('13LN1350', '1350', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0074')"
"('13LN1351', '1351', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0158')"
"('13LN1352', '1352', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0100')"
"('13LN1353', '1353', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0081')"
"('13LN1354', '1354', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'Z007E0219')"
"('13LN1355', '1355', '13LN', '', '', '', '', 'NULL', 'NULL', 'F. vert. inoc.', '', 'Purpose: ', '7', 'B73')"
