1,1,70,1,No Collection,No Collection,No Collection
2,2,72,1,NULL,Field Harvest,No comments
3,3,72,1,NULL,Field Harvest,No comments
4,4,72,1,NULL,Field Harvest,No comments
5,5,72,1,NULL,Field Harvest,No comments
6,6,72,1,NULL,Field Harvest,No comments
7,7,72,1,NULL,Field Harvest,No comments
8,8,72,1,NULL,Field Harvest,No comments
9,9,72,1,NULL,Field Harvest,No comments
10,10,72,1,NULL,Field Harvest,No comments
11,11,72,1,NULL,Field Harvest,No comments
12,12,72,1,NULL,Field Harvest,No comments
13,13,72,1,NULL,Field Harvest,No comments
14,14,72,1,NULL,Field Harvest,No comments
15,15,72,1,NULL,Field Harvest,No comments
16,16,72,1,NULL,Field Harvest,No comments
17,17,72,1,NULL,Field Harvest,No comments
18,18,72,1,NULL,Field Harvest,No comments
19,19,72,1,NULL,Field Harvest,No comments
20,20,72,1,NULL,Field Harvest,No comments
21,21,72,1,NULL,Field Harvest,No comments
22,22,72,1,NULL,Field Harvest,No comments
23,23,72,1,NULL,Field Harvest,No comments
24,24,72,1,NULL,Field Harvest,No comments
25,25,72,1,NULL,Field Harvest,No comments
26,26,72,1,NULL,Field Harvest,No comments
27,27,72,1,NULL,Field Harvest,No comments
28,28,72,1,NULL,Field Harvest,No comments
29,29,72,1,NULL,Field Harvest,No comments
30,30,72,1,NULL,Field Harvest,No comments
31,31,72,1,NULL,Field Harvest,No comments
32,32,72,1,NULL,Field Harvest,No comments
33,33,72,1,NULL,Field Harvest,No comments
34,34,72,1,NULL,Field Harvest,No comments
35,35,72,1,NULL,Field Harvest,No comments
36,36,72,1,NULL,Field Harvest,No comments
37,1,70,1,No Collecting,No Collecting,No Collecting
38,200,72,1,NULL,Field Harvest,No comments
39,201,72,1,NULL,Field Harvest,No comments
40,202,72,1,NULL,Field Harvest,No comments
41,203,72,1,NULL,Field Harvest,No comments
42,204,72,1,NULL,Field Harvest,No comments
43,205,72,1,NULL,Field Harvest,No comments
44,206,72,1,NULL,Field Harvest,No comments
