1,70,1,No Experiment,No Experiment,No Experiment,No Experiment
2,2,2,00CC,1/1/1900,Various seed sources from Chia-Lin that did not have seed_id,Notes: These seed packages do are not labeled by seed_id but by seed_name
3,70,3,04NC,1/1/1900,NULL,No Comments
4,2,4,05CN,5/9/2005,"""2005 Chia-Lin Chung NLB trial (SEC 4.5, ROW 165-249 in Margaret Smith's field plot)""",Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY000
5,70,5,05FL,1/1/1900,2005-2006 Flordia Nursery,Tissue Collection: y || Inoculations: 0
6,12,4,05RW,1/1/1900,"2005 Randy Aurora, NY Nursery",Tissue Collection: y || Inoculations: 0
7,2,4,06CN,5/24/2006,"""2006 Chia-Lin Chung NLB trial (CC06_C, CC06_H, CC06_T, CC06_D)""",Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
8,70,5,06FL,1/1/1900,2006-2007 Flordia Nursery,Tissue Collection: y || Inoculations: 0
9,70,4,06PN,1/1/1900,NULL,No Comments
10,2,4,07CA,5/23/2007,2007 Chia-Lin Chung ALB and ASR trials (CC07_C_127-246),Tissue Collection: y || Inoculations: 2 || Pathogen: Gg001
11,70,6,07CG,5/8/2007,NULL,Tissue Collection: y || Inoculations: 0 || Pathogen: Natural infection
12,2,4,07CNa,5/23/2007,"""2007 Chia-Lin Chung NLB trial (CC07_C_1-126, CC07_C_247-259, CC07_C_D, CC07_C_T)""",Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
13,2,4,07CNb,5/29/2007,"""2007 Chia-Lin Chung NLB trial (CC07_C_C2, CC07_C_T2)""",Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
14,70,3,07CS,4/24/2007,NULL,Tissue Collection: y || Inoculations: 1 || Pathogen: Cochliobolus heterosrophus race 0 (isolate 2-16Bm)
15,70,5,07FL,1/1/1900,NULL,No Comments
16,70,2,07JD,1/1/1900,NULL,No Comments
17,70,2,07JR,1/1/1900,NULL,No Comments
18,70,4,07K,5/15/2007,2007 NAM trial,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
19,3,3,07NC,4/24/2007,2008 SLB trial Jesse,Tissue Collection: y || Inoculations: 1 || Pathogen: Cochliobolus heterosrophus race 0 (isolate 2-16Bm)
20,70,4,07PF,1/1/1900,NULL,No Comments
21,3,6,07PG,5/8/2007,2007 GLS trial Jesse,Tissue Collection: y || Inoculations: 0 || Pathogen: GLS natural infection
22,70,2,07PK,1/1/1900,NULL,No Comments
23,3,4,07PN,5/22/2007,2007 Jesse Nursery,Tissue Collection: y || Inoculations: 0
24,70,7,08BB,5/22/2008,2008 NAM GLS trial,Tissue Collection: y || Inoculations: 0
25,2,4,08CA,5/23/2008,2008 Chia-Lin Chung ASR trial,Tissue Collection: y || Inoculations: 2 || Pathogen: Gg001
26,2,4,08CF,5/23/2008,"""2008 Chia-Lin Chung fine-mapping for qEt1.06, 6.05 and 8.06""",Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
27,2,7,08CG,5/22/2008,2008 Chia-Lin Chung GLS trial,Tissue Collection: y || Inoculations: 0 || Pathogen: Natural infection
28,2,4,08CN,5/23/2008,2008 Chia-Lin Chung NLB trial,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
29,2,4,08CP,5/23/2008,2008 Chia-Lin Chung Stewart's wilt trial,Tissue Collection: y || Inoculations: 1 || Pathogen: PsNY003
30,2,3,08CS,4/22/2008,2008 Chia-Lin Chung SLB trial,Tissue Collection: y || Inoculations: 1 || Pathogen: Cochliobolus heterosrophus race 0 (isolate 2-16Bm)
31,2,4,08CU,5/23/2008,2008 Chia-Lin Chung smut trial (a few late flowering lines were inoculated on 29-Aug-08),"Tissue Collection: y || Inoculations: 3 || Pathogen: ""UmNY001, UmNY002, UmNY003, UmNY004, UmNY008, UmNY009"""
32,70,5,08FL,11/17/2008,2008 Flordia Nursery,Tissue Collection: y || Inoculations: 0
33,70,8,08GC,1/1/1900,NULL,No Comments
34,2,9,08GC05,4/28/2008,2008 Chia-Lin Chung fine-mapping for qEt8.06,Tissue Collection: y || Inoculations: 2 || Pathogen: EtNY001
35,2,9,08GC08,8/28/2008,2008 Chia-Lin Chung NLB race specificity trial,Inoculations: 1
36,2,9,08GC12,12/19/2008,2008 Chia-Lin Chung screening recombinants for qEt8.06,Tissue Collection: y || Inoculations: 0
37,70,2,08JD,1/1/1900,NULL,No Comments
38,70,4,08K,5/14/2008,2008 NAM trial,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
39,3,3,08NC,4/22/2008,2008 SLB trial Jesse,Tissue Collection: y || Inoculations: 1 || Pathogen: Cochliobolus heterosrophus race 0 (isolate 2-16Bm)
40,70,4,08PF,5/16/2008,2008 B73/32-24 F2:3 NLB trial,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
41,70,6,08PG,1/1/1900,2008 GLS trial,Tissue Collection: y || Inoculations: 0 || Pathogen: GLS natural infection
42,70,4,08PN,1/1/1900,NULL,No Comments
43,70,4,08PS,6/5/2008,2008 B73/32-24 F2:3 rust trial,Tissue Collection: y || Inoculations: 2
44,70,4,08PT,5/14/2008,2008 Teo trial,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
45,12,4,08RW,5/14/2008,2008 Randy SM trial,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
46,8,4,08SB,5/24/2008,"2008 Santiago, founder inbreds",Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357
47,8,4,08SC,5/24/2008,"2008 Santiago, B73xCML322 pop",Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357
48,8,10,08SM,4/24/2008,"Santiago 2008 Mississippi, B73xCML322 pop, various NILs and inbreds","Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357 || Notes: locally labeled as exp 810 & 811, rows 1- 412"
49,8,4,08SN,5/24/2008,"2008 Santiago, Tx303 TBBC3 lines, CML52 HIFs",Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357
50,70,11,09AR,11/12/2009,2009-2010 Argentina Winter Nursery qEt1.06Tx303fine mapping (to fix recombinants),Tissue Collection: y || Inoculations: 0
51,70,7,09BB,5/18/2009,2009 NAM GLS trial,Tissue Collection: y || Inoculations: 0 || Notes: planting occurred from the 18 to the 21st
52,70,7,09BD,5/14/2009,2009 Diversity Panel GLS trial,Tissue Collection: y || Inoculations: 0
53,70,4,09CN1,5/16/2009,"2009 qEt1.06B73 , qEt6.05Tx303 Nursery",Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
54,70,4,09CN2,6/5/2009,2009 qEt8.06DK888 Fine mapping,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
55,70,4,09CN3,6/5/2009,2009 qEt8.06DK888 Allelism test in field,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
56,70,4,09CP,6/5/2009,"2009 Stewart's Wilt Trial for 1.06, 6.05, 8.06",Tissue Collection: y || Inoculations: 1
57,70,4,09CR,5/15/2009,"2009 Rust Trial for 1.02, 1.06, 8.06",Tissue Collection: y || Inoculations: 1
58,70,2,09GC,1/1/1900,NULL,No Comments
59,2,9,09GC01,1/23/2009,2009 Chia-Lin Chung making crosses for allelic test of qEt8.06,Tissue Collection: y || Inoculations: 0
60,70,9,09GC06,1/1/1900,2009 qEt8.06DK888 Allelism test in GH,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
61,70,2,09JH,1/1/1900,NULL,No Comments
62,70,4,09K,5/18/2009,2009 NAM NLB trial,"Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: first inoc spore susp., second inoc. Sorghum"
63,70,3,09NC,5/13/2009,32-24 RIL trial for SLB,Tissue Collection: y || Inoculations: 1 || Pathogen: Cochliobolus heterosrophus race 0 (isolate 2-16Bm)
64,3,7,09PB,6/1/2009,2009 Poland RS GLS trial,Tissue Collection: y || Inoculations: 0
65,70,4,09PF,5/18/2009,32-24 RIL trial for NLB,"Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: first inoc spore susp., second inoc. Sorghum"
66,70,4,09PM,5/18/2009,multi-scoring for NLB,"Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001 || Notes: first inoc spore susp., second inoc. Sorghum"
67,3,4,09PN,5/15/2009,Jesse Nursery,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
68,70,2,09PR,1/1/1900,NULL,No Comments
69,70,4,09PS,6/5/2009,32-24 RIL trial for common rust / P29 & P30 pop per se,Tissue Collection: y || Inoculations: 1 || Pathogen: rust || Notes: 0.5ml @ 3x10^5 for first inoc.; 0.5ml @ 2x10^5 for second inoc.
70,70,4,09PT,5/15/2009,teo introgression lines,"Inoculations: 1 || Pathogen: EtNY001 || Notes: first inoc spore susp., second inoc. Sorghum"
71,70,4,09PX,6/5/2009,multi-scoring for common rust,Inoculations: 1 || Pathogen: rust || Notes: 0.5ml @ 3x10^5 for first inoc.; 0.5ml @ 2x10^5 for second inoc.
72,70,4,09SB,5/19/2010,2009 Founder Inbreds,Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357 || Notes: inoculated in-vitro at different dates
73,70,4,09SC,5/19/2010,2009 B73xCML322 RILs,Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357 || Notes: inoculated in-vitro at different dates
74,70,10,09SM,4/27/2010,"2009 Mississippi B73xCML322 RILs, founder inbreds and Tx303 NILs",Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357 || Notes: inoculated in silk chanel and side needle at different dates; inbreds and NILs are exp927 and the RILs are exp926
75,70,4,09SN,5/19/2010,2009 Tx303 NILs,Tissue Collection: y || Inoculations: 1 || Pathogen: NRRL 3357 || Notes: inoculated in-vitro at different dates
76,70,4,09ST,1/1/1900,NULL,No Comments
77,70,4,09SX,1/1/1900,NULL,No Comments
78,70,4,09TF,5/15/2009,1.02 Fine mapping,Tissue Collection: y || Inoculations: 1 || Pathogen: EtNY001
79,70,4,09TF1,1/1/1900,NULL,No Comments
80,70,4,09TF2,1/1/1900,NULL,No Comments
