1,1,No Field
2,1,NULL
3,2,"Clayton, NC"
4,3,"Aurora, NY"
5,4,"Homested, FL"
6,5,"Andrews, NC"
7,6,"Blacksburg, VA"
8,7,NULL
9,8,"Cornell GH, NY"
10,9,"Mississippi State, MS"
11,10,Argentina
12,11,Chile
13,6,"Blacksburg,VA"
14,12,Puerto Rico Winter Nursery
15,13,"Santa Rafaela, Graneros"
16,8,"Ithaca, NY"
17,3,"Aurora,NY"
18,14,Texas
19,15,Mississippi
20,16,NorthCarolina
21,1,"StuebenCo.Addison, ZakeDininningFarmer"
22,17,"Lansing, NY"
23,18,"Livingston, NY"
24,1,ATCC48332
25,1,ATCC48331
26,19,Ohio
27,20,Illinois
28,21,Pennsylvania
29,16,N.Carolina
30,22,"Marion, NC"
31,23,"Ontario, NY"
32,24,"LeRoy, NY(GeneseeCounty)"
33,1,unknown
34,25,"Freeville, NY"
35,1,"Columbia, Co"
36,26,"Emerson Garden, NY"
37,8,"366 Rd Ithaca, NY"
38,8,"367 Rd Ithaca, NY"
39,3,"Buckler's middle field Aurora, NY"
