1,No Source
2,NULL
3,source:04ncai01
4,source:06ncai01
5,CIMMYT
6,NCRPIS
7,NCRPISPI543916
8,NAM
9,SherrieFlint-Garcia Missouri
10,GRIN
11,source:02ncai01
12,source:05ncei01
13,source:94ncai01
14,source:06ncei01
15,source:00ncab01
16,source:95ncab01
17,source:03ncai01
18,source:01ncab01
19,source:00ncai01
20,source:03ncai02
21,source:A'06JK-DIbulk(mes'05)
22,source:92ncai01
23,source:94ncai03
24,source:95ncai01
25,source:04ncai02
26,source:94ncab01
27,source:98ncai02
28,source:99ncai01
29,source:90ncab01
30,source:03ncai03
31,source:94ncab02
32,source:96ncai01
33,source:98ncab01
34,W.P.Williams
