09CR0001,qEt8.06DK888,09CR,[DK888] 1851_1_2_2_06A_30204C,NULL,08CF2005_021s,[DK888] 1851_1_2_2_06A_30204C,NULL,NULL,NULL,1,10,NULL,NULL,Rust,qEt8.06DK888,34
09CR0002,qEt8.06S11,09CR,[DK888] 1851_1_2_2_06A_30201H,NULL,08CF2005_002s,[DK888] 1851_1_2_2_06A_30201H,NULL,NULL,NULL,1,10,NULL,NULL,Rust,qEt8.06S11,34
09CR0003,DK888,09CR,DK888,NULL,NCRPIS Ames 23669,DK888,NULL,NULL,NULL,1,10,NULL,NULL,Rust,control,34
09CR0004,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,NULL,1,10,NULL,NULL,Rust,control,34
09CR0005,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,1,1,10,NULL,NULL,Rust,Control,34
09CR0006,TBBC3_38_05F,09CR,TBBC3 NIL,NULL,08FL0044_001s,TBBC3_38_05F,NULL,NULL,1,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0007,TBBC3_38_18A,09CR,TBBC3 NIL,NULL,08FL0048_001s,TBBC3_38_18A,NULL,NULL,1,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0008,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,1,1,10,NULL,NULL,Rust,Control,34
09CR0009,TBBC3_39_19E,09CR,TBBC3 NIL,NULL,08FL0052_001s,TBBC3_39_19E,NULL,NULL,1,1,10,NULL,NULL,Rust,qEt1.06Tx302,34
09CR0010,TBBC3_42_02E_01,09CR,TBBC3 NIL,NULL,08FL0053_001s,TBBC3_42_02E_01,NULL,NULL,1,1,10,NULL,NULL,Rust,qEt1.02B72,34
09CR0011,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,1,1,10,NULL,NULL,Rust,Control,34
09CR0012,TBBC3_38_07H,09CR,TBBC3 NIL,NULL,08FL0045_001s,TBBC3_38_07H,NULL,NULL,2,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0013,TBBC3_38,09CR,TBBC3 NIL,NULL,CC07_T_005,TBBC3_38,NULL,NULL,2,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0014,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,2,1,10,NULL,NULL,Rust,Control,34
09CR0015,TBBC3_42_05H_04,09CR,TBBC3 NIL,NULL,08FL0055_001s,TBBC3_42_05H_04,NULL,NULL,2,1,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0016,TBBC3_42_12F_01,09CR,TBBC3 NIL,NULL,08FL0059_001s,TBBC3_42_12F_01,NULL,NULL,2,1,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0017,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,2,1,10,NULL,NULL,Rust,Control,34
09CR0018,TBBC3_38_11E,09CR,TBBC3 NIL,NULL,08FL0046_001s,TBBC3_38_11E,NULL,NULL,3,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0019,TBBC3_38_16G,09CR,TBBC3 NIL,NULL,08FL0047_001s,TBBC3_38_16G,NULL,NULL,3,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0020,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,3,1,10,NULL,NULL,Rust,Control,34
09CR0021,TBBC3_39_11A,09CR,TBBC3 NIL,NULL,08FL0051_001s,TBBC3_39_11A,NULL,NULL,3,1,10,NULL,NULL,Rust,qEt1.06Tx302,34
09CR0022,TBBC3_42,09CR,TBBC3 NIL,NULL,CC07_T_021,TBBC3_42,NULL,NULL,3,1,10,NULL,NULL,Rust,qEt1.02B72,34
09CR0023,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,3,1,10,NULL,NULL,Rust,Control,34
09CR0024,TBBC3_39_08F,09CR,TBBC3 NIL,NULL,08FL0049_001s,TBBC3_39_08F,NULL,NULL,4,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0025,TBBC3_39_09F,09CR,TBBC3 NIL,NULL,08FL0050_001s,TBBC3_39_09F,NULL,NULL,4,1,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0026,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,4,1,10,NULL,NULL,Rust,Control,34
