07PN0001_001b,07PN0001_001,07PN0001,07PN,NULL,07N01,07N01 sib,sib,NULL,NULL,NULL,B73,NULL,3,NULL,B73 sib increase 2007,NULL,NULL
07PN0002_001b,07PN0002_001,07PN0002,07PN,NULL,07N02,07N02 sib,sib,NULL,NULL,NULL,B73,NULL,3,NULL,B73 sib increase 2007,NULL,NULL
07PN0002_002b,07PN0002_002,07PN0002,07PN,NULL,07N02,07N02 sib,sib,NULL,NULL,NULL,B73,NULL,3,NULL,B73 sib increase 2007,NULL,NULL
07PN0003_001s,07PN0003_001,07PN0003,07PN,07N03.01,07N03,NULL,self,07PN0003_001,B73/32-24-10,NULL,B73/[32-24]-10,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_002s,07PN0003_002,07PN0003,07PN,07N03.02,07N03,NULL,self,07PN0003_002,B73/32-24-11,NULL,B73/[32-24]-11,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_003s,07PN0003_003,07PN0003,07PN,07N03.03,07N03,NULL,self,07PN0003_003,B73/32-24-12,NULL,B73/[32-24]-12,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_004s,07PN0003_004,07PN0003,07PN,07N03.04,07N03,NULL,self,07PN0003_004,B73/32-24-13,NULL,B73/[32-24]-13,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_005s,07PN0003_005,07PN0003,07PN,07N03.05,07N03,NULL,self,07PN0003_005,B73/32-24-14,NULL,B73/[32-24]-14,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_006s,07PN0003_006,07PN0003,07PN,07N03.06,07N03,NULL,self,07PN0003_006,B73/32-24-15,NULL,B73/[32-24]-15,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_007s,07PN0003_007,07PN0003,07PN,07N03.07,07N03,NULL,self,07PN0003_007,B73/32-24-16,NULL,B73/[32-24]-16,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_008s,07PN0003_008,07PN0003,07PN,07N03.08,07N03,NULL,self,07PN0003_008,B73/32-24-17,NULL,B73/[32-24]-17,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_009s,07PN0003_009,07PN0003,07PN,07N03.09,07N03,NULL,self,07PN0003_009,B73/32-24-18,NULL,B73/[32-24]-18,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
07PN0003_010s,07PN0003_010,07PN0003,07PN,07N03.10,07N03,NULL,self,07PN0003_010,B73/32-24-19,NULL,B73/[32-24]-19,NULL,3,NULL,P30_Et4 [32-24] S1,NULL,NULL
